symbol,operation,implementation,security_or_parameter,input_bytes,iterations,warmup_iterations,raw_average_ns,corrected_average_ns,raw_average_us,corrected_average_us,raw_average_ms,corrected_average_ms,status,note,metadata_json
T_P,BLS12-381 pairing evaluation,pyblst 0.3.x / native blst,"BLS12-381, approximately 128-bit security",144,10000,1000,433505.61,433484.29,433.50561,433.48429,0.43350561,0.43348429,OK,One fresh Miller loop plus final pairing equality verification against a precomputed valid reference.,
T_E1,Scalar multiplication in BLS12-381 G1,pyblst 0.3.x / native blst,48-byte compressed G1 point; 32-byte scalar,80,10000,1000,64217.87,64196.55,64.21787,64.19655,0.06421787,0.06419655,OK,Implements the G1 exponentiation/scalar multiplication counted in the table.,
T_Ea,Scalar multiplication in auxiliary group G_aux,oblivious.ristretto sodium backend / rbcl / libsodium,ristretto255; 32-byte point and 32-byte scalar,64,10000,1000,80636.53,80615.21,80.63653,80.61521,0.08063653,0.08061521,OK,Native crypto_scalarmult_ristretto255 through the Windows rbcl wheel.,
T_DH,ECDH shared-secret computation,cryptography X25519,X25519; 32-byte public key; 32-byte shared secret,32,10000,1000,23874.13,23852.81,23.87413,23.85281,0.02387413,0.023852810000000002,OK,Key-pair generation is outside the measured region.,
T_S,Conventional signature generation,cryptography Ed25519,Ed25519; 32-byte message; 64-byte signature,32,10000,1000,25483.76,25462.44,25.483759999999997,25.462439999999997,0.025483759999999998,0.02546244,OK,,
T_V,Conventional signature verification,cryptography Ed25519,Ed25519; 32-byte message; 64-byte signature,96,10000,1000,71752.06,71730.74,71.75206,71.73074000000001,0.07175205999999999,0.07173074,OK,,
T_DG,DAA attestation quote generation (Intel EPID signing),Intel EPID SDK 8.0.0 (Intel EPID 2.0),"Intel EPID 2.0; 256-bit Barreto-Naehrig pairing-friendly curve, embedding degree 12; 128-bit security; SHA-256; random basename (anonymous/unlinkable); GroupRL/PrivRL/SigRL empty; VerifierRL N/A for random base",32,10000,1000,26048.9,26036.56,26.0489,26.03656,0.0260489,0.02603656,OK,"Direct native EpidSign call; setup, key/RL loading, contexts, pairing precomputation and buffers are outside the timed region. Each EpidSign consumes exactly one fresh pre-signature generated by EpidAddPreSigs; the disclosed offline cost is excluded. Repository commit 389426ff4ba2286d2e133bec29d178427d434d8c.","{""basename"": null, ""basename_mode"": ""random basename (anonymous/unlinkable)"", ""commit"": ""389426ff4ba2286d2e133bec29d178427d434d8c"", ""correctness"": {""all_measured_signatures_verified"": true, ""all_timed_verifications_valid"": true, ""initial_self_check"": true, ""measured_presignatures_generated_count"": 10000, ""measured_signatures_verified_count"": 10000, ""one_presignature_consumed_per_signature"": true, ""presignature_pool_after_each_T_DG"": 0, ""presignature_pool_before_each_T_DG"": 1}, ""curve"": ""256-bit Barreto-Naehrig pairing-friendly curve, embedding degree 12"", ""daa_class"": ""pairing-based Enhanced Privacy ID / DAA"", ""epid_version"": ""2.0"", ""hash_algorithm"": ""SHA-256"", ""implementation"": ""Intel EPID SDK 8.0.0 (Intel EPID 2.0)"", ""measurement_iterations"": 10000, ""message_hex"": ""000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f"", ""message_length_bytes"": 32, ""offline_precomputation"": {""baseline_avg_ns"": 12.32, ""corrected_avg_ms"": 12.09749206, ""corrected_avg_ns"": 12097492.06, ""corrected_avg_us"": 12097.49206, ""included_in_di5guise_formula"": false, ""operation"": ""EpidAddPreSigs average per single-use pre-signature"", ""raw_avg_ms"": 12.09750438, ""raw_avg_ns"": 12097504.38, ""raw_avg_us"": 12097.50438}, ""operations"": {""T_DG"": {""baseline_avg_ns"": 12.34, ""corrected_avg_ms"": 0.02603656, ""corrected_avg_ns"": 26036.56, ""corrected_avg_us"": 26.03656, ""raw_avg_ms"": 0.0260489, ""raw_avg_ns"": 26048.9, ""raw_avg_us"": 26.0489}, ""T_DV"": {""baseline_avg_ns"": 0.23, ""corrected_avg_ms"": 13.60290788, ""corrected_avg_ns"": 13602907.88, ""corrected_avg_us"": 13602.90788, ""raw_avg_ms"": 13.60290811, ""raw_avg_ns"": 13602908.11, ""raw_avg_us"": 13602.90811}}, ""presignature_policy"": {""api"": ""EpidAddPreSigs"", ""offline_cost_excluded_from_T_DG"": true, ""policy"": ""one fresh single-use pre-signature per EpidSign"", ""pool_empty_after_each_timed_sign"": true, ""pool_filled_before_each_timed_sign"": true}, ""qpc_frequency_hz"": 10000000, ""repository"": ""https://github.com/Intel-EPID-SDK/epid-sdk"", ""revocation_lists"": {""group_rl"": ""official signed empty GroupRL (0 entries)"", ""private_rl"": ""official signed empty PrivRL (0 entries)"", ""signature_rl"": ""official signed empty SigRL (0 entries)"", ""verifier_rl"": ""not applicable: Intel EPID forbids VerifierRL with random basename""}, ""schema_version"": 2, ""security_level_bits"": 128, ""signature_length_bytes"": 392, ""timed_scope"": {""T_DG"": ""one direct online EpidSign call consuming exactly one pre-signature"", ""T_DV"": ""one direct EpidVerify call on an already generated valid quote"", ""pre_signature_generation"": ""one offline EpidAddPreSigs pre-signature; disclosed separately and excluded from T_DG""}, ""timer"": ""Windows QueryPerformanceCounter"", ""warmup_iterations"": 1000}"
T_DV,DAA attestation quote verification (Intel EPID verification),Intel EPID SDK 8.0.0 (Intel EPID 2.0),"Intel EPID 2.0; 256-bit Barreto-Naehrig pairing-friendly curve, embedding degree 12; 128-bit security; SHA-256; random basename (anonymous/unlinkable); GroupRL/PrivRL/SigRL empty; VerifierRL N/A for random base",424,10000,1000,13602908.11,13602907.88,13602.90811,13602.90788,13.60290811,13.60290788,OK,"Direct native EpidVerify call; setup, key/RL loading, contexts, pairing precomputation and buffers are outside the timed region. Each EpidSign consumes exactly one fresh pre-signature generated by EpidAddPreSigs; the disclosed offline cost is excluded. Repository commit 389426ff4ba2286d2e133bec29d178427d434d8c.","{""basename"": null, ""basename_mode"": ""random basename (anonymous/unlinkable)"", ""commit"": ""389426ff4ba2286d2e133bec29d178427d434d8c"", ""correctness"": {""all_measured_signatures_verified"": true, ""all_timed_verifications_valid"": true, ""initial_self_check"": true, ""measured_presignatures_generated_count"": 10000, ""measured_signatures_verified_count"": 10000, ""one_presignature_consumed_per_signature"": true, ""presignature_pool_after_each_T_DG"": 0, ""presignature_pool_before_each_T_DG"": 1}, ""curve"": ""256-bit Barreto-Naehrig pairing-friendly curve, embedding degree 12"", ""daa_class"": ""pairing-based Enhanced Privacy ID / DAA"", ""epid_version"": ""2.0"", ""hash_algorithm"": ""SHA-256"", ""implementation"": ""Intel EPID SDK 8.0.0 (Intel EPID 2.0)"", ""measurement_iterations"": 10000, ""message_hex"": ""000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f"", ""message_length_bytes"": 32, ""offline_precomputation"": {""baseline_avg_ns"": 12.32, ""corrected_avg_ms"": 12.09749206, ""corrected_avg_ns"": 12097492.06, ""corrected_avg_us"": 12097.49206, ""included_in_di5guise_formula"": false, ""operation"": ""EpidAddPreSigs average per single-use pre-signature"", ""raw_avg_ms"": 12.09750438, ""raw_avg_ns"": 12097504.38, ""raw_avg_us"": 12097.50438}, ""operations"": {""T_DG"": {""baseline_avg_ns"": 12.34, ""corrected_avg_ms"": 0.02603656, ""corrected_avg_ns"": 26036.56, ""corrected_avg_us"": 26.03656, ""raw_avg_ms"": 0.0260489, ""raw_avg_ns"": 26048.9, ""raw_avg_us"": 26.0489}, ""T_DV"": {""baseline_avg_ns"": 0.23, ""corrected_avg_ms"": 13.60290788, ""corrected_avg_ns"": 13602907.88, ""corrected_avg_us"": 13602.90788, ""raw_avg_ms"": 13.60290811, ""raw_avg_ns"": 13602908.11, ""raw_avg_us"": 13602.90811}}, ""presignature_policy"": {""api"": ""EpidAddPreSigs"", ""offline_cost_excluded_from_T_DG"": true, ""policy"": ""one fresh single-use pre-signature per EpidSign"", ""pool_empty_after_each_timed_sign"": true, ""pool_filled_before_each_timed_sign"": true}, ""qpc_frequency_hz"": 10000000, ""repository"": ""https://github.com/Intel-EPID-SDK/epid-sdk"", ""revocation_lists"": {""group_rl"": ""official signed empty GroupRL (0 entries)"", ""private_rl"": ""official signed empty PrivRL (0 entries)"", ""signature_rl"": ""official signed empty SigRL (0 entries)"", ""verifier_rl"": ""not applicable: Intel EPID forbids VerifierRL with random basename""}, ""schema_version"": 2, ""security_level_bits"": 128, ""signature_length_bytes"": 392, ""timed_scope"": {""T_DG"": ""one direct online EpidSign call consuming exactly one pre-signature"", ""T_DV"": ""one direct EpidVerify call on an already generated valid quote"", ""pre_signature_generation"": ""one offline EpidAddPreSigs pre-signature; disclosed separately and excluded from T_DG""}, ""timer"": ""Windows QueryPerformanceCounter"", ""warmup_iterations"": 1000}"
T_PE,Public-key encryption,PyNaCl SealedBox / Curve25519-XSalsa20-Poly1305,64-byte plaintext; 112-byte sealed ciphertext,64,10000,1000,85002.21,84980.89,85.00221,84.98089,0.08500221000000001,0.08498089,OK,Sealed-box ephemeral-key generation is included in encryption time.,
T_PD,Public-key decryption,PyNaCl SealedBox / Curve25519-XSalsa20-Poly1305,112-byte sealed ciphertext; 64-byte plaintext,112,10000,1000,62172.46,62151.14,62.17246,62.15114,0.06217246,0.06215114,OK,,
