protocol_mode,transaction_id,direct_cluster,learned_cluster
standard_rsp,AD25B5668B7E9F07B344AEDA658F8FDC,Cluster-011,Cluster-011
standard_rsp,73DD2A38E3A90620AAF23FC8CC58A161,Cluster-008,Cluster-008
standard_rsp,E2F2192A1C80AE5E3EBC16B6CCAB87CF,Cluster-018,Cluster-018
standard_rsp,5939BC60F451F95B7EC64A98C3C2C721,Cluster-006,Cluster-006
standard_rsp,1BB8E9D19BA492864DD483F9B571B800,Cluster-001,Cluster-001
standard_rsp,DFBA8FABFBDBC446738107E25AC3A382,Cluster-016,Cluster-016
standard_rsp,2F1EC2F0D9C329DC3E9F78B434849A2F,Cluster-002,Cluster-002
standard_rsp,8DE9EC967D577FB3AD3FBC1F7F516B49,Cluster-009,Cluster-009
standard_rsp,B755416B5217B0C7C523D137D0560BAB,Cluster-012,Cluster-012
standard_rsp,FA59233B4566E6D85266909E02524EA7,Cluster-020,Cluster-020
standard_rsp,ED8D3428ECFE3B62DD5B89B7E2D0A189,Cluster-019,Cluster-019
standard_rsp,E01316971F8ACC997F856A2561BCB2E7,Cluster-017,Cluster-017
standard_rsp,B8514FFFC571B8DA1680A591F742F164,Cluster-016,Cluster-016
standard_rsp,C89F221C89D9B81E17C3532BA8E9C69C,Cluster-013,Cluster-013
standard_rsp,0DEE05896E2ECFF32004B7291957638E,Cluster-016,Cluster-016
standard_rsp,70506EE8248145632B696B4F38FC1419,Cluster-007,Cluster-007
standard_rsp,ACDB376B9E16C2BFFD4A2B684768D379,Cluster-010,Cluster-010
standard_rsp,3DC0DA8D18AF894F853D6587AD6A9471,Cluster-003,Cluster-003
standard_rsp,491E7029C0644E4EC76F89C0654E757F,Cluster-004,Cluster-004
standard_rsp,A939415470F6927E51C2A026C4F4BC29,Cluster-004,Cluster-004
standard_rsp,59FE056629E23072376F07BCFAACB50C,Cluster-010,Cluster-010
standard_rsp,CFE4823845F28BEA63386BD4AF261139,Cluster-014,Cluster-014
standard_rsp,5306CA08C2E51D2D37EF53B0548C1C92,Cluster-014,Cluster-014
standard_rsp,E0E46B1B9CA1851A3380A0864B7E1B66,Cluster-012,Cluster-012
standard_rsp,8306744DF0F7B51F1B38A5A73227E239,Cluster-008,Cluster-008
standard_rsp,3220B92797B76B41FDC6313E13287CC7,Cluster-017,Cluster-017
standard_rsp,0844011AB44BBCA0B0392E7C40CA84F0,Cluster-013,Cluster-013
standard_rsp,DFC3C8DBC6DAF25BDB0AB305EC1A2E53,Cluster-017,Cluster-017
standard_rsp,F059F1013762CC82CEAAD84EE854C16D,Cluster-009,Cluster-009
standard_rsp,2D5AFE119DD5554136DEB21223769260,Cluster-009,Cluster-009
standard_rsp,433A8B45899B0580A21BACA504D6910B,Cluster-006,Cluster-006
standard_rsp,F7B8731B39E1DFE12513786CD36F47F9,Cluster-019,Cluster-019
standard_rsp,AEE020E771106FB47F79955C14077F25,Cluster-004,Cluster-004
standard_rsp,AC1E270A7B15CCF55DE282F71F1131D2,Cluster-007,Cluster-007
standard_rsp,439943ED4907AFEEC3A22C0B67F3306C,Cluster-008,Cluster-008
standard_rsp,9E0DA79434D5DC44A35496943DB44645,Cluster-001,Cluster-001
standard_rsp,57FAC97F26480CAD7640FD0B43B32938,Cluster-005,Cluster-005
standard_rsp,8E94B36132484D45F5592B27E761135F,Cluster-019,Cluster-019
standard_rsp,A10D0933E2F92B510572E15705B001AE,Cluster-005,Cluster-005
standard_rsp,C1F40927BE1C3DA3C803F31ABED1F446,Cluster-019,Cluster-019
standard_rsp,38D84C19349E14D61B05D3D1011653D3,Cluster-006,Cluster-006
standard_rsp,E3FB2D77A628349EA7BEF9632124B319,Cluster-018,Cluster-018
standard_rsp,235C951AB0B7A5191BF9A3114E0CD7C9,Cluster-012,Cluster-012
standard_rsp,1ADC98636ACD6BEFCC39DD529B7FA831,Cluster-010,Cluster-010
standard_rsp,A8FFB9BDC432A3B667D2084FDD781E3D,Cluster-002,Cluster-002
standard_rsp,FD0A52E8F652CCE92A93CA67701011D0,Cluster-020,Cluster-020
standard_rsp,D92EC94A720B804FC73241CE930FD3F8,Cluster-015,Cluster-015
standard_rsp,5A3F7B2F974C72CE9F2B8926FA9E2D9A,Cluster-006,Cluster-006
standard_rsp,DB432930212040410D537C1880518580,Cluster-015,Cluster-015
standard_rsp,D30D486F990613D3099334A00CA80D7B,Cluster-005,Cluster-005
standard_rsp,6D44A4596340019F71E5D4C816F82A9E,Cluster-003,Cluster-003
standard_rsp,BE59077548420BF14AD78F08260E9F4F,Cluster-011,Cluster-011
standard_rsp,4242BB2A541CD87D9CF75D4AEF1A4099,Cluster-013,Cluster-013
standard_rsp,F6CDFBA38350AA2B89D7B52D59AC6874,Cluster-003,Cluster-003
standard_rsp,6984D13115E21F4B1D39000C1A6E8EC4,Cluster-015,Cluster-015
standard_rsp,1EB1B158170AFC28B625A093ED8C6A1B,Cluster-018,Cluster-018
standard_rsp,C4E558C5DC5B190496501F64DB26B594,Cluster-017,Cluster-017
