protocol_mode,transaction_id,event_index,timestamp_unix,mno,order_id,test_account_id,profile_id,profile_hash,profile_size,network_egress,smdpp,I_ac,I_t,sid,pid_h,op,nu,lph,opid,vk_t,proof_hash,Bind_t_hash,session_public_key,N_U,N_S,serverOID,PRaddr,cap
aura_rsp,C1588AB4B64D9BF72EF0BE4CAAB90B03,0,1800531638,MNO-D,ORDER-F47B40424627EEB5CF2B4FAA,ACCOUNT-63017573eeeac69cd1bd,PROFILE-eec475b88910af10966b,79a13d6f25bf228dc4204c7a9b8a367f81a67bc0c58a9ab54cb3e97bdf72ecac,12207,198.51.100.10,shared-smdpp.test,IAC-59C131F543511B92643E14CC2E945778,1RVbrpFaCgNPAED39s-yXQ,aura-smdpp.test,79a13d6f25bf228dc4204c7a9b8a367f81a67bc0c58a9ab54cb3e97bdf72ecac,download,ww1WOTDqKfcO1woEhsP5J37LXtnu0K5Jlgo2j9oJqcMAcbguwlHFbrJVLYEHub3Z,MCEnOr1juxaPaKfijAm6aQZisvMxRaqT-j3-9Ixz3w0,I6UJCRPLtE4Z2jtmZdDUfA,Smpot40Fvd9txwtbn7iukMCJRSul-SW8k2kTNVFqwng,daec0c3c0bbcdf86aed97f70bc7e502d4b0f9f9bbc1df63095da63f3274f1817,973112c66aa0f176623978eb844e7e33ad485c14407b473a60feb29e46b7937c,a3FLBJKIXJ0QqVb1CYUx34hQAt_DvqMaPGe7-2G1KFzErlsD8-hfoddeeVuA_j1qg5jMDzi8NQbtiyQUYYHytNU,gUjYI_duyl2cD-SHUe1u1g,mRYmEbSixUfUbE4KTfwc8g,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,BC4C8C016E4405E3EB0440C04A55E6DB,1,1800055207,MNO-C,ORDER-31D3C02735C47768F2646FD0,ACCOUNT-e31eb485e68ad83bcbf7,PROFILE-152cdd3ae746247cdb19,027669549a1413d07edc8c3233a9a741ae22cce1aa743aedc1e9e5ae712d5cd5,12207,198.51.100.10,shared-smdpp.test,IAC-F824235FA79F69E93C05DFC5440E0273,U54G-HBgw6AkWhLqa1TVvg,aura-smdpp.test,027669549a1413d07edc8c3233a9a741ae22cce1aa743aedc1e9e5ae712d5cd5,download,tzXZniqPHWNQGWQPq17SPbTpCbPpIlmVb84CRiCLDTDq7GlKJsaYJ7qYMucrNJVY,j3HTlWUhkedNE_FTWuXdZouRv-MdR3vCpvpWxbDgt5o,uVBZCh9hExhUHiyOeWF1lg,lllflgb1_DKR8One_Uj8m17kjMtiu-1dvt2avglyOMk,dddaed8642ea863651af3f2af0c6ae9af53748ce214300e318b475499bcf557d,2bd6ca3f7c4185c4c43361fb5144c8342327e9c59e86d23537892cd1c0a82858,hygYRtyu_xutTXbekj91Dh5iDFTkwgBI-wlpO2PAtNxtRC4tBG3WALme4fdU_yC9YW0BVR4XZcz7WhKLJwJCEmQ,tdt40CaAaLj8SmzOMW6SBw,fa0NlN2YJOOKQ9O8MxQV3Q,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,C2B8D85F7A52CA4A84F71D062B5DF633,2,1800084852,MNO-D,ORDER-D3D6A3419A0AF212EBD41F89,ACCOUNT-8e1dd7c04b35b12dddfb,PROFILE-b7f48913eae5b28af2e6,1c910fc2cf7ee31c6a603e8367d1536e81d6cfab402c7b6f6e9508cfc4f82986,12207,198.51.100.10,shared-smdpp.test,IAC-3A108F1AA233C19A175573BD5F4603B4,T5w3RnXc1SWulYm0-LFNIA,aura-smdpp.test,1c910fc2cf7ee31c6a603e8367d1536e81d6cfab402c7b6f6e9508cfc4f82986,download,HyvQWuNPZjYiSj204ewVls9fPNttpkXk51TrZ9Ad9sQUJ8VGH5gQsB-BUT4TmjUP,PYRle74IfuG9rdp9oak4ERjcgxST2bVtN00rUjP4yAg,QInayBEYanASN-p3i8vocA,e3oSkBZMMwWUEQkCTT166iXMiSq211BrI7W7ADBB4dc,55535c4682b042084e01fcb5dc59d9de84d2021692f92de5aa53ee212a473b15,2d171d1e781a15fae9549ae2f93d832547d482f05e1deb22eb19d31e00852b49,6P5rsJGWSiJOsG2iczw4A58JQEPaCBkHz01iJusBchSaGTeMAqTaZQXJ0VBprzBlkWap73erWkzxuTZlf3bfmg4,Jh1dDaURynIfNS4FkiuFLQ,RlcrHWKYB7OM7BKqxBebEg,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,282682FC8B65852D2B154BFF4041E9F5,3,1800036119,MNO-D,ORDER-013CD0048343E48CDF96B7A9,ACCOUNT-fe7b6c727ee06ac665e5,PROFILE-eeb1aa5cc8f86c9f1797,fafef77de590077ba7684f456995596e4868b70e10652c2742fd11a4d31ce1f2,12207,198.51.100.10,shared-smdpp.test,IAC-22C52C10EF480CAB1BD869AEED705197,sqrgNV_FN5Tt8N6LT0OESg,aura-smdpp.test,fafef77de590077ba7684f456995596e4868b70e10652c2742fd11a4d31ce1f2,download,LpjnUWGgIrsft_PdQKJUGglpNjCPyKY6uacjhebL7vnAzbE9r5If30npeiYOpxfv,lWwQVYYNAXvE5N62mA1g9q8Liroc4PehN5DPTeS4EVw,4sMbCthAy-xfSCVlSFsMsA,oW-Fje8WGZ2VpBhc317kqwc_4mkDqrXX08MjmNxMxtk,fe24fd3dacf1e4702e4cb708b60719620fb4f4ff9a1a03d3a804ad78195aa08c,08e1c50797109ad05742e4d41fd5690c38bd45a49affde973dfa68f6f1118c4c,gpZw9QkhwEwdksFqIWWZr91rG14-AQ3Z_LOWrKi-mAOaTk05tfE8gZOh7ePmKDyy7MPi6EnCuLiqGFBgFhtvAsY,rxYrAdOABQNZyZQrP1_S8w,YRg8pbCIzFgOj3Z8pDFkGA,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,1110423AD5E1627FCB0AAA12B0EF1509,4,1800017625,MNO-B,ORDER-04AA06FD3BD93ED148507F39,ACCOUNT-ac0fba16ccdd8ecd3654,PROFILE-b7e16e193e0b58fe3741,558ebd6677945baa0b6bd0ed8da2a15c2b31a052d3e6fe58209a50fc2b4e20c2,12207,198.51.100.10,shared-smdpp.test,IAC-EF78C5482D31587EACFBF0AB51869FC7,Afh_Sv8dajB01_rcwSHZjA,aura-smdpp.test,558ebd6677945baa0b6bd0ed8da2a15c2b31a052d3e6fe58209a50fc2b4e20c2,download,622TSm6mASXuxFHPg5xh_UNzyn7s96WxawgrNxWRv3fiZGcYb9qOzHejQadIRj2t,H1RJ9n3Ya5bdUH8g6hp_Lv96SQwNrw5PLBKF0MhTQwQ,znGN3OSNiNS1dSilQBTI9w,pMNlP4ybLw0ikXfCipnJhUukMfv-vIxcYRrWgte42C8,962028f540adf5bd464f07e0407e3878c83cf01db5e203cc3ef728dcbf4d18df,a92c8db641039c8e15a134620b7bf8d59e4163f1fa68d8c35de9461682480846,IyrUmTfkY5VBCd7lP3PB7mlzETHWAX33VEm6b5q_mSfj3nVp1JcTloGTmtgt4EfiaFUKudPo2UU2tAZK8vjkO3k,k4zS1ekrw65bLOmgERMC-g,6J7IY2G_RNJTQVLQmRu0cQ,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,DA95373542EEC42C5AD2A6CB02E55706,5,1800426419,MNO-C,ORDER-EF0711BAA3342FB960206639,ACCOUNT-01e92d0ca070c183ac1d,PROFILE-d30c7a605eb956988c8b,161d646645d56e70f392a562a5b5aa8887661e3cb8b96cbaa29b51e6adf98dee,12207,198.51.100.10,shared-smdpp.test,IAC-D7E0ECEAA678491A0D180BF27D5E98DF,fX64cqXSj0lpReSzNS3r7g,aura-smdpp.test,161d646645d56e70f392a562a5b5aa8887661e3cb8b96cbaa29b51e6adf98dee,download,TSwDJZPopQrIRPmq4uWkoDDJy5nRZiPycccDKE0-yO_oJ3EvLNWd6uLrARUt8e-G,vp0UyuOz4xgzQpW-yLW59vHb3JvF0wrEdSHR62mAtXQ,08INiU-ifREd9Mo9zrSx_A,pEQWlReBUz5gR2flFG57q103Vf-nnT75sZqTlqvGh8Y,0c2e03b63bec96c460456ed729249bd1ec6f037013ec3639e028b9790656c5cf,bdf2f436f37a9e535d0d32e0cd4728a5dd7d84388732e365da8eb98a5273f55c,T1IiiYVAxNdCgOPjFIXb7E2-JDFpGb8fc1C1ROfH2wWUANTD3pAZNBCgi6QKom1BK-7FLZxAnlT-MSglmLNGC_E,aZy6V2QAAoEw--Ioc4CoHA,go1aUXOUHwvRwUPGZGrN1w,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,5A9E95CBEC37F1D66D1E6F16F9293D3B,6,1800260217,MNO-B,ORDER-B57049F8A7FB04A8250968F8,ACCOUNT-d5c5ae649dc32032b28f,PROFILE-b7646345d0b1be6be159,44074d956a36519b47941552709998af65f757ab5e58764ed0538c5973551949,12207,198.51.100.10,shared-smdpp.test,IAC-47D577B5BB7C1CC5D2FA9BAB648CCF8F,qZ4ex3N2DDIPXTK2t-6XEw,aura-smdpp.test,44074d956a36519b47941552709998af65f757ab5e58764ed0538c5973551949,download,TGgxwivYP55ms8Y7Uu8Mpm8_D6xaLY9frnEUc1f8Opcj39SOFWvTGO34sa_rqFZQ,rtn3WZ_m0AILn2iTbDCw3H6j1pO6MSeWrWXrT9qDK3U,Yxo7lkwm6zgI3KnIdQgAzQ,PtxxWuhCUgsOYjAkAJSDnajj4Gh8infpwLmiM40dKcM,900ba6e74dcf91de495403791d7a0d42758026bf1131d6ca40b6b51ec244b272,05644224075113828ffdf4c6ac788864a035f90768ec860b8840036f9ee99547,hWbQIMdBHlstHr3NK8kYjLIMaJpq0wQG8RiwPrYR7_sQi5jTf9Pt36tTJghRg4p5ojrMKw2lFmX0PJted0GaOp4,olPzabz9Z3GYC8wKeuGPJA,4BV8f77lfSPEOJbO4kaeZQ,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,82CE8B45EDB5F60D6FF09A52043B0207,7,1800445109,MNO-A,ORDER-5EF87D298047C68E7C19CA34,ACCOUNT-60e2107c1ba17cc28c00,PROFILE-4e34ae1b2501a9fc902c,80c7b037c32625e23bc49120b6bded0e8492371e567e4eb2e81482db7687cb8f,12207,198.51.100.10,shared-smdpp.test,IAC-F52E592F5F32A2AE14D6183EC6847A0A,US8c6tPq5Q2BSu8a03EQ1A,aura-smdpp.test,80c7b037c32625e23bc49120b6bded0e8492371e567e4eb2e81482db7687cb8f,download,i7l-BxTx-hqVn8sWoglXYCVDlA3fJeTxqVpzD6pp2klpuNef-7cgNjSuW1WHOgXb,9fG_wXGUACZRoKU7PoSgPt8Sv6y7B-qpudZjb51aicQ,14qWSBOvBNelH4a2lWZqNg,7BSc1ARNENVmiSipNom9ub8IuszeHvS2xBndaCp8b6I,6714f668d9d73129ca460ba75cc1edf91f41a411b17ba20952d690a7ec835b98,68a17de4a8799dbd70e00c9e8d3a5727d67276097ad3df693359b38834e0f335,kwV3XZT-8BddDCgXGZh1fU37VB_BMRBPxyF9-7Tlc8ixGqCD0QHdAKorTfnkop_3Nzp5TcWU6B4IXhujP7V3nis,C9E23qq3Omi-ZKyYQlYM9g,Oax6wqrBvWZiCc0ymAis8A,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,6D6EAD31C1CEE35D10C9834489577BB6,8,1800034725,MNO-A,ORDER-2F7EBF88FD33E1D436E2E998,ACCOUNT-1c94693ead8ee10c2376,PROFILE-25b1ad5e78368b3576b5,745f03276af826cb545d9a509d0bac96a985c5dc1133913f5334b1c1f9351e0a,12207,198.51.100.10,shared-smdpp.test,IAC-7B3C3ED14096306B195E9D58AF7291BE,_ZiY8Pbubn3UQ7esD1p_ag,aura-smdpp.test,745f03276af826cb545d9a509d0bac96a985c5dc1133913f5334b1c1f9351e0a,download,B_XSkkdBtTdfTLQIJ3fwzELoFGR4olICPjUqxENw5CrWFLG-npV6vKXOaJ240mj3,aEkx8Ny-RNw1I0eU1aZtu79AZD0nxK2ikc7Tyoi33ek,xA9xNQQi9N1Zg6wdX_GWTA,tA63tpUN81s__0TmqpdmHOF8hkhI5plqg8v4IOXJNA8,5c0d4d67cfb54927ef4a47901f122d65af2c97f0dcb1b7b932afec6ab580741d,9609795a18b6676ecee61a7acb34fe899dbb6054f582c988d1f6da2469fe5072,lB4ULwDn5PhXpHHZhKP1qnEhgZr6oJUKgiPKuQoKiqs3yz5F-GF1r1HeZf0sC1gDtcclIxSTb850IKV_aWaV1ao,5RO7wfufqKRgOevYEtmpeg,vnbG5L1jGmnsZCmCoInMwA,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
aura_rsp,24417CF16A95577FBEAB0C9588CA664C,9,1800569761,MNO-D,ORDER-5C94F6A6A8C28E54CC813A7A,ACCOUNT-00b6008d9f716440488d,PROFILE-33c0324dfd014e6027c5,3d40de5ecec55e9e594a8397f219bb8a11a82c8a5125593b41297c809ed4d658,12207,198.51.100.10,shared-smdpp.test,IAC-5B358402CED996031F7D1F908A6BCFAB,_7SSfzleUHEa1pNeNJ2lcw,aura-smdpp.test,3d40de5ecec55e9e594a8397f219bb8a11a82c8a5125593b41297c809ed4d658,download,4DPWJrdRotQHr8h9pnmHBmajAfoIxp04sl7qf1vtiq6AWJ_gBsXvH56TfvCJ1k1K,yZ3YydxZXXWMo3GRmQZrHi43v-X85YDxpP8iaN0FCN4,0ofByobSjpZ3h88naWvHaA,flZKoa55LRb6EcDlAX7DAXKOJEm0mBnzpWyL5RTYrQI,b8ca65b32d8441165f2bb239d32ab5f32972147fb0dd6ea41bdb485e728101bb,7f10acff9261d247056bc241cc19e99a1e9cec65486c5958732a20ed117af098,qlrOgrv5QkX2FfJ1aTV3oDX2bJBR5EqA91RfoWZt7RfLiWL8Lf_AE6-RZvM9lcbmm2319cZKz1HmYuhG6a8A8I4,QzdvZdat7K22m0hbUhRxtA,hqY-OkPWoCqTfAMeCsvyPQ,2.999.10,aura-pr.test,"[""AURA-BBSPLUS-BLS12381-SHA256"",""ECDHE-P256-HKDF-SHA256-AES256GCM""]"
