protocol_mode,transaction_id,logical_download_id,true_device_id
standard_rsp,AD25B5668B7E9F07B344AEDA658F8FDC,D06-M04,Device-06
aura_rsp,C1588AB4B64D9BF72EF0BE4CAAB90B03,D06-M04,Device-06
standard_rsp,73DD2A38E3A90620AAF23FC8CC58A161,D10-M03,Device-10
aura_rsp,BC4C8C016E4405E3EB0440C04A55E6DB,D10-M03,Device-10
standard_rsp,E2F2192A1C80AE5E3EBC16B6CCAB87CF,D18-M04,Device-18
aura_rsp,C2B8D85F7A52CA4A84F71D062B5DF633,D18-M04,Device-18
standard_rsp,5939BC60F451F95B7EC64A98C3C2C721,D05-M04,Device-05
aura_rsp,282682FC8B65852D2B154BFF4041E9F5,D05-M04,Device-05
standard_rsp,1BB8E9D19BA492864DD483F9B571B800,D17-M02,Device-17
aura_rsp,1110423AD5E1627FCB0AAA12B0EF1509,D17-M02,Device-17
standard_rsp,DFBA8FABFBDBC446738107E25AC3A382,D16-M03,Device-16
aura_rsp,DA95373542EEC42C5AD2A6CB02E55706,D16-M03,Device-16
standard_rsp,2F1EC2F0D9C329DC3E9F78B434849A2F,D08-M02,Device-08
aura_rsp,5A9E95CBEC37F1D66D1E6F16F9293D3B,D08-M02,Device-08
standard_rsp,8DE9EC967D577FB3AD3FBC1F7F516B49,D01-M01,Device-01
aura_rsp,82CE8B45EDB5F60D6FF09A52043B0207,D01-M01,Device-01
standard_rsp,B755416B5217B0C7C523D137D0560BAB,D11-M01,Device-11
aura_rsp,6D6EAD31C1CEE35D10C9834489577BB6,D11-M01,Device-11
standard_rsp,FA59233B4566E6D85266909E02524EA7,D12-M04,Device-12
aura_rsp,24417CF16A95577FBEAB0C9588CA664C,D12-M04,Device-12
standard_rsp,ED8D3428ECFE3B62DD5B89B7E2D0A189,D19-M03,Device-19
aura_rsp,87A96A6895E62951406607DA14E0CAE6,D19-M03,Device-19
standard_rsp,E01316971F8ACC997F856A2561BCB2E7,D15-M03,Device-15
aura_rsp,0713C86ABA1CB4BEA7E9F15DD154AF1F,D15-M03,Device-15
standard_rsp,B8514FFFC571B8DA1680A591F742F164,D16-M04,Device-16
aura_rsp,E0ACECDAE2EE83F1064F82E80CE0A637,D16-M04,Device-16
standard_rsp,C89F221C89D9B81E17C3532BA8E9C69C,D07-M01,Device-07
aura_rsp,27795F94FFEE536463CA30BDDD58A14E,D07-M01,Device-07
standard_rsp,0DEE05896E2ECFF32004B7291957638E,D16-M02,Device-16
aura_rsp,69ABC622FAC7CA1DB6FF821DBEC54D7F,D16-M02,Device-16
standard_rsp,70506EE8248145632B696B4F38FC1419,D20-M03,Device-20
aura_rsp,430C39AA98FD62C0556E7494B23A1D69,D20-M03,Device-20
standard_rsp,ACDB376B9E16C2BFFD4A2B684768D379,D03-M03,Device-03
aura_rsp,3F4F2D668F5EF15AA89F5D69CD5CC047,D03-M03,Device-03
standard_rsp,3DC0DA8D18AF894F853D6587AD6A9471,D04-M02,Device-04
aura_rsp,A906B15B22A7735F114CD8973DCF056D,D04-M02,Device-04
standard_rsp,491E7029C0644E4EC76F89C0654E757F,D14-M03,Device-14
aura_rsp,E460DA32616E36EBDB8015836B3E5003,D14-M03,Device-14
standard_rsp,A939415470F6927E51C2A026C4F4BC29,D14-M04,Device-14
aura_rsp,87411055A022D547FCE682C40B40C58C,D14-M04,Device-14
standard_rsp,59FE056629E23072376F07BCFAACB50C,D03-M02,Device-03
aura_rsp,141090A8EFC7076090362243A7193282,D03-M02,Device-03
standard_rsp,CFE4823845F28BEA63386BD4AF261139,D02-M01,Device-02
aura_rsp,06D8D77D450F41117C9463E2BEF1F3AE,D02-M01,Device-02
standard_rsp,5306CA08C2E51D2D37EF53B0548C1C92,D02-M03,Device-02
aura_rsp,4F502921E3A8D058878BAACEF8B54009,D02-M03,Device-02
standard_rsp,E0E46B1B9CA1851A3380A0864B7E1B66,D11-M03,Device-11
aura_rsp,FBB46B27CDBF201FF5AB66BF5D82A616,D11-M03,Device-11
standard_rsp,8306744DF0F7B51F1B38A5A73227E239,D10-M02,Device-10
aura_rsp,87A8087AB7203B4235D40323FF93611A,D10-M02,Device-10
standard_rsp,3220B92797B76B41FDC6313E13287CC7,D15-M04,Device-15
aura_rsp,019DE36DF5096BB9E75F7E04E9C7AEB4,D15-M04,Device-15
standard_rsp,0844011AB44BBCA0B0392E7C40CA84F0,D07-M02,Device-07
