protocol_mode,true_device_id,expected_profile_count,recovered_profile_count,recovered_fraction,exact_history_recovered
standard_rsp,Device-0001,2,2,1.0,True
standard_rsp,Device-0002,2,2,1.0,True
standard_rsp,Device-0003,2,2,1.0,True
standard_rsp,Device-0004,2,2,1.0,True
standard_rsp,Device-0005,2,2,1.0,True
standard_rsp,Device-0006,2,2,1.0,True
standard_rsp,Device-0007,2,2,1.0,True
standard_rsp,Device-0008,2,2,1.0,True
standard_rsp,Device-0009,2,2,1.0,True
standard_rsp,Device-0010,2,2,1.0,True
standard_rsp,Device-0011,2,2,1.0,True
standard_rsp,Device-0012,2,2,1.0,True
standard_rsp,Device-0013,2,2,1.0,True
standard_rsp,Device-0014,2,2,1.0,True
standard_rsp,Device-0015,2,2,1.0,True
standard_rsp,Device-0016,2,2,1.0,True
standard_rsp,Device-0017,2,2,1.0,True
standard_rsp,Device-0018,2,2,1.0,True
standard_rsp,Device-0019,2,2,1.0,True
standard_rsp,Device-0020,2,2,1.0,True
standard_rsp,Device-0021,2,2,1.0,True
standard_rsp,Device-0022,2,2,1.0,True
standard_rsp,Device-0023,2,2,1.0,True
standard_rsp,Device-0024,2,2,1.0,True
standard_rsp,Device-0025,2,2,1.0,True
standard_rsp,Device-0026,2,2,1.0,True
standard_rsp,Device-0027,2,2,1.0,True
standard_rsp,Device-0028,2,2,1.0,True
standard_rsp,Device-0029,2,2,1.0,True
standard_rsp,Device-0030,2,2,1.0,True
standard_rsp,Device-0031,2,2,1.0,True
standard_rsp,Device-0032,2,2,1.0,True
standard_rsp,Device-0033,2,2,1.0,True
standard_rsp,Device-0034,2,2,1.0,True
standard_rsp,Device-0035,2,2,1.0,True
standard_rsp,Device-0036,2,2,1.0,True
standard_rsp,Device-0037,2,2,1.0,True
standard_rsp,Device-0038,2,2,1.0,True
standard_rsp,Device-0039,2,2,1.0,True
standard_rsp,Device-0040,2,2,1.0,True
standard_rsp,Device-0041,2,2,1.0,True
standard_rsp,Device-0042,2,2,1.0,True
standard_rsp,Device-0043,2,2,1.0,True
standard_rsp,Device-0044,2,2,1.0,True
standard_rsp,Device-0045,2,2,1.0,True
standard_rsp,Device-0046,2,2,1.0,True
standard_rsp,Device-0047,2,2,1.0,True
standard_rsp,Device-0048,2,2,1.0,True
standard_rsp,Device-0049,2,2,1.0,True
standard_rsp,Device-0050,2,2,1.0,True
standard_rsp,Device-0051,2,2,1.0,True
standard_rsp,Device-0052,2,2,1.0,True
standard_rsp,Device-0053,2,2,1.0,True
standard_rsp,Device-0054,2,2,1.0,True
standard_rsp,Device-0055,2,2,1.0,True
standard_rsp,Device-0056,2,2,1.0,True
standard_rsp,Device-0057,2,2,1.0,True
standard_rsp,Device-0058,2,2,1.0,True
standard_rsp,Device-0059,2,2,1.0,True
standard_rsp,Device-0060,2,2,1.0,True
standard_rsp,Device-0061,2,2,1.0,True
standard_rsp,Device-0062,2,2,1.0,True
standard_rsp,Device-0063,2,2,1.0,True
standard_rsp,Device-0064,2,2,1.0,True
standard_rsp,Device-0065,2,2,1.0,True
standard_rsp,Device-0066,2,2,1.0,True
standard_rsp,Device-0067,2,2,1.0,True
standard_rsp,Device-0068,2,2,1.0,True
standard_rsp,Device-0069,2,2,1.0,True
standard_rsp,Device-0070,2,2,1.0,True
standard_rsp,Device-0071,2,2,1.0,True
standard_rsp,Device-0072,2,2,1.0,True
standard_rsp,Device-0073,2,2,1.0,True
standard_rsp,Device-0074,2,2,1.0,True
standard_rsp,Device-0075,2,2,1.0,True
standard_rsp,Device-0076,2,2,1.0,True
standard_rsp,Device-0077,2,2,1.0,True
standard_rsp,Device-0078,2,2,1.0,True
standard_rsp,Device-0079,2,2,1.0,True
standard_rsp,Device-0080,2,2,1.0,True
standard_rsp,Device-0081,2,2,1.0,True
standard_rsp,Device-0082,2,2,1.0,True
standard_rsp,Device-0083,2,2,1.0,True
standard_rsp,Device-0084,2,2,1.0,True
standard_rsp,Device-0085,2,2,1.0,True
standard_rsp,Device-0086,2,2,1.0,True
standard_rsp,Device-0087,2,2,1.0,True
standard_rsp,Device-0088,2,2,1.0,True
standard_rsp,Device-0089,2,2,1.0,True
standard_rsp,Device-0090,2,2,1.0,True
standard_rsp,Device-0091,2,2,1.0,True
standard_rsp,Device-0092,2,2,1.0,True
standard_rsp,Device-0093,2,2,1.0,True
standard_rsp,Device-0094,2,2,1.0,True
standard_rsp,Device-0095,2,2,1.0,True
standard_rsp,Device-0096,2,2,1.0,True
standard_rsp,Device-0097,2,2,1.0,True
standard_rsp,Device-0098,2,2,1.0,True
standard_rsp,Device-0099,2,2,1.0,True
standard_rsp,Device-0100,2,2,1.0,True
standard_rsp,Device-0101,2,2,1.0,True
standard_rsp,Device-0102,2,2,1.0,True
standard_rsp,Device-0103,2,2,1.0,True
standard_rsp,Device-0104,2,2,1.0,True
standard_rsp,Device-0105,2,2,1.0,True
standard_rsp,Device-0106,2,2,1.0,True
standard_rsp,Device-0107,2,2,1.0,True
standard_rsp,Device-0108,2,2,1.0,True
standard_rsp,Device-0109,2,2,1.0,True
standard_rsp,Device-0110,2,2,1.0,True
standard_rsp,Device-0111,2,2,1.0,True
standard_rsp,Device-0112,2,2,1.0,True
standard_rsp,Device-0113,2,2,1.0,True
standard_rsp,Device-0114,2,2,1.0,True
standard_rsp,Device-0115,2,2,1.0,True
standard_rsp,Device-0116,2,2,1.0,True
standard_rsp,Device-0117,2,2,1.0,True
standard_rsp,Device-0118,2,2,1.0,True
standard_rsp,Device-0119,2,2,1.0,True
standard_rsp,Device-0120,2,2,1.0,True
standard_rsp,Device-0121,2,2,1.0,True
standard_rsp,Device-0122,2,2,1.0,True
standard_rsp,Device-0123,2,2,1.0,True
standard_rsp,Device-0124,2,2,1.0,True
standard_rsp,Device-0125,2,2,1.0,True
standard_rsp,Device-0126,2,2,1.0,True
standard_rsp,Device-0127,2,2,1.0,True
standard_rsp,Device-0128,2,2,1.0,True
standard_rsp,Device-0129,2,2,1.0,True
standard_rsp,Device-0130,2,2,1.0,True
standard_rsp,Device-0131,2,2,1.0,True
standard_rsp,Device-0132,2,2,1.0,True
standard_rsp,Device-0133,2,2,1.0,True
standard_rsp,Device-0134,2,2,1.0,True
standard_rsp,Device-0135,2,2,1.0,True
standard_rsp,Device-0136,2,2,1.0,True
standard_rsp,Device-0137,2,2,1.0,True
standard_rsp,Device-0138,2,2,1.0,True
standard_rsp,Device-0139,2,2,1.0,True
standard_rsp,Device-0140,2,2,1.0,True
standard_rsp,Device-0141,2,2,1.0,True
standard_rsp,Device-0142,2,2,1.0,True
standard_rsp,Device-0143,2,2,1.0,True
standard_rsp,Device-0144,2,2,1.0,True
standard_rsp,Device-0145,2,2,1.0,True
standard_rsp,Device-0146,2,2,1.0,True
standard_rsp,Device-0147,2,2,1.0,True
standard_rsp,Device-0148,2,2,1.0,True
standard_rsp,Device-0149,2,2,1.0,True
standard_rsp,Device-0150,2,2,1.0,True
standard_rsp,Device-0151,2,2,1.0,True
standard_rsp,Device-0152,2,2,1.0,True
standard_rsp,Device-0153,2,2,1.0,True
standard_rsp,Device-0154,2,2,1.0,True
standard_rsp,Device-0155,2,2,1.0,True
standard_rsp,Device-0156,2,2,1.0,True
standard_rsp,Device-0157,2,2,1.0,True
standard_rsp,Device-0158,2,2,1.0,True
standard_rsp,Device-0159,2,2,1.0,True
standard_rsp,Device-0160,2,2,1.0,True
standard_rsp,Device-0161,2,2,1.0,True
standard_rsp,Device-0162,2,2,1.0,True
standard_rsp,Device-0163,2,2,1.0,True
standard_rsp,Device-0164,2,2,1.0,True
standard_rsp,Device-0165,2,2,1.0,True
standard_rsp,Device-0166,2,2,1.0,True
standard_rsp,Device-0167,2,2,1.0,True
standard_rsp,Device-0168,2,2,1.0,True
standard_rsp,Device-0169,2,2,1.0,True
standard_rsp,Device-0170,2,2,1.0,True
standard_rsp,Device-0171,2,2,1.0,True
standard_rsp,Device-0172,2,2,1.0,True
standard_rsp,Device-0173,2,2,1.0,True
standard_rsp,Device-0174,2,2,1.0,True
standard_rsp,Device-0175,2,2,1.0,True
standard_rsp,Device-0176,2,2,1.0,True
standard_rsp,Device-0177,2,2,1.0,True
standard_rsp,Device-0178,2,2,1.0,True
standard_rsp,Device-0179,2,2,1.0,True
standard_rsp,Device-0180,2,2,1.0,True
standard_rsp,Device-0181,2,2,1.0,True
standard_rsp,Device-0182,2,2,1.0,True
standard_rsp,Device-0183,2,2,1.0,True
standard_rsp,Device-0184,2,2,1.0,True
standard_rsp,Device-0185,2,2,1.0,True
standard_rsp,Device-0186,2,2,1.0,True
standard_rsp,Device-0187,2,2,1.0,True
standard_rsp,Device-0188,2,2,1.0,True
standard_rsp,Device-0189,2,2,1.0,True
standard_rsp,Device-0190,2,2,1.0,True
standard_rsp,Device-0191,2,2,1.0,True
standard_rsp,Device-0192,2,2,1.0,True
standard_rsp,Device-0193,2,2,1.0,True
standard_rsp,Device-0194,2,2,1.0,True
standard_rsp,Device-0195,2,2,1.0,True
standard_rsp,Device-0196,2,2,1.0,True
standard_rsp,Device-0197,2,2,1.0,True
standard_rsp,Device-0198,2,2,1.0,True
standard_rsp,Device-0199,2,2,1.0,True
standard_rsp,Device-0200,2,2,1.0,True
standard_rsp,Device-0201,2,2,1.0,True
standard_rsp,Device-0202,2,2,1.0,True
standard_rsp,Device-0203,2,2,1.0,True
standard_rsp,Device-0204,2,2,1.0,True
standard_rsp,Device-0205,2,2,1.0,True
standard_rsp,Device-0206,2,2,1.0,True
standard_rsp,Device-0207,2,2,1.0,True
standard_rsp,Device-0208,2,2,1.0,True
standard_rsp,Device-0209,2,2,1.0,True
standard_rsp,Device-0210,2,2,1.0,True
standard_rsp,Device-0211,2,2,1.0,True
standard_rsp,Device-0212,2,2,1.0,True
standard_rsp,Device-0213,2,2,1.0,True
standard_rsp,Device-0214,2,2,1.0,True
standard_rsp,Device-0215,2,2,1.0,True
standard_rsp,Device-0216,2,2,1.0,True
standard_rsp,Device-0217,2,2,1.0,True
standard_rsp,Device-0218,2,2,1.0,True
standard_rsp,Device-0219,2,2,1.0,True
standard_rsp,Device-0220,2,2,1.0,True
standard_rsp,Device-0221,2,2,1.0,True
standard_rsp,Device-0222,2,2,1.0,True
standard_rsp,Device-0223,2,2,1.0,True
standard_rsp,Device-0224,2,2,1.0,True
standard_rsp,Device-0225,2,2,1.0,True
standard_rsp,Device-0226,2,2,1.0,True
standard_rsp,Device-0227,2,2,1.0,True
standard_rsp,Device-0228,2,2,1.0,True
standard_rsp,Device-0229,2,2,1.0,True
standard_rsp,Device-0230,2,2,1.0,True
