protocol_mode,true_device_id,expected_profile_count,recovered_profile_count,recovered_fraction,exact_history_recovered
standard_rsp,Device-0001,4,4,1.0,True
standard_rsp,Device-0002,4,4,1.0,True
standard_rsp,Device-0003,4,4,1.0,True
standard_rsp,Device-0004,4,4,1.0,True
standard_rsp,Device-0005,4,4,1.0,True
standard_rsp,Device-0006,4,4,1.0,True
standard_rsp,Device-0007,4,4,1.0,True
standard_rsp,Device-0008,4,4,1.0,True
standard_rsp,Device-0009,4,4,1.0,True
standard_rsp,Device-0010,4,4,1.0,True
standard_rsp,Device-0011,4,4,1.0,True
standard_rsp,Device-0012,4,4,1.0,True
standard_rsp,Device-0013,4,4,1.0,True
standard_rsp,Device-0014,4,4,1.0,True
standard_rsp,Device-0015,4,4,1.0,True
standard_rsp,Device-0016,4,4,1.0,True
standard_rsp,Device-0017,4,4,1.0,True
standard_rsp,Device-0018,4,4,1.0,True
standard_rsp,Device-0019,4,4,1.0,True
standard_rsp,Device-0020,4,4,1.0,True
standard_rsp,Device-0021,4,4,1.0,True
standard_rsp,Device-0022,4,4,1.0,True
standard_rsp,Device-0023,4,4,1.0,True
standard_rsp,Device-0024,4,4,1.0,True
standard_rsp,Device-0025,4,4,1.0,True
standard_rsp,Device-0026,4,4,1.0,True
standard_rsp,Device-0027,4,4,1.0,True
standard_rsp,Device-0028,4,4,1.0,True
standard_rsp,Device-0029,4,4,1.0,True
standard_rsp,Device-0030,4,4,1.0,True
standard_rsp,Device-0031,4,4,1.0,True
standard_rsp,Device-0032,4,4,1.0,True
standard_rsp,Device-0033,4,4,1.0,True
standard_rsp,Device-0034,4,4,1.0,True
standard_rsp,Device-0035,4,4,1.0,True
standard_rsp,Device-0036,4,4,1.0,True
standard_rsp,Device-0037,4,4,1.0,True
standard_rsp,Device-0038,4,4,1.0,True
standard_rsp,Device-0039,4,4,1.0,True
standard_rsp,Device-0040,4,4,1.0,True
standard_rsp,Device-0041,4,4,1.0,True
standard_rsp,Device-0042,4,4,1.0,True
standard_rsp,Device-0043,4,4,1.0,True
standard_rsp,Device-0044,4,4,1.0,True
standard_rsp,Device-0045,4,4,1.0,True
standard_rsp,Device-0046,4,4,1.0,True
standard_rsp,Device-0047,4,4,1.0,True
standard_rsp,Device-0048,4,4,1.0,True
standard_rsp,Device-0049,4,4,1.0,True
standard_rsp,Device-0050,4,4,1.0,True
standard_rsp,Device-0051,4,4,1.0,True
standard_rsp,Device-0052,4,4,1.0,True
standard_rsp,Device-0053,4,4,1.0,True
standard_rsp,Device-0054,4,4,1.0,True
standard_rsp,Device-0055,4,4,1.0,True
standard_rsp,Device-0056,4,4,1.0,True
standard_rsp,Device-0057,4,4,1.0,True
standard_rsp,Device-0058,4,4,1.0,True
standard_rsp,Device-0059,4,4,1.0,True
standard_rsp,Device-0060,4,4,1.0,True
standard_rsp,Device-0061,4,4,1.0,True
standard_rsp,Device-0062,4,4,1.0,True
standard_rsp,Device-0063,4,4,1.0,True
standard_rsp,Device-0064,4,4,1.0,True
standard_rsp,Device-0065,4,4,1.0,True
standard_rsp,Device-0066,4,4,1.0,True
standard_rsp,Device-0067,4,4,1.0,True
standard_rsp,Device-0068,4,4,1.0,True
standard_rsp,Device-0069,4,4,1.0,True
standard_rsp,Device-0070,4,4,1.0,True
standard_rsp,Device-0071,4,4,1.0,True
standard_rsp,Device-0072,4,4,1.0,True
standard_rsp,Device-0073,4,4,1.0,True
standard_rsp,Device-0074,4,4,1.0,True
standard_rsp,Device-0075,4,4,1.0,True
standard_rsp,Device-0076,4,4,1.0,True
standard_rsp,Device-0077,4,4,1.0,True
standard_rsp,Device-0078,4,4,1.0,True
standard_rsp,Device-0079,4,4,1.0,True
standard_rsp,Device-0080,4,4,1.0,True
standard_rsp,Device-0081,4,4,1.0,True
standard_rsp,Device-0082,4,4,1.0,True
standard_rsp,Device-0083,4,4,1.0,True
