protocol_mode,transaction_id,I_ac,logical_download_id,true_device_id,mno,profile_id
standard_rsp,B78D772024F1037FCCC6E733BE1CAFD9,MID-D369E054EFA6F8C525E314B70BAA797A,D0164-M04,Device-0164,MNO-D,PROFILE-885a93eba8ff15dd4cba
aura_rsp,CF1E1EBF063113646EA3F50D16F73735,IAC-93F77912E023198202EA237DCD45E2A9,D0164-M04,Device-0164,MNO-D,PROFILE-885a93eba8ff15dd4cba
standard_rsp,429721E0444D0EC02451603B891FD229,MID-2E0F54408F4AB53FC6EF913F76742A2C,D0181-M02,Device-0181,MNO-B,PROFILE-8e462901519f2e13c399
aura_rsp,94A7E9340D5A0A5893E2B0150629D244,IAC-3C7F922B14CCF5C391773640590B07B7,D0181-M02,Device-0181,MNO-B,PROFILE-8e462901519f2e13c399
standard_rsp,D8A4D206A1F570AE9D49C61CDA480CD7,MID-9D82EC33381F7418E67C3C95D91E8A70,D0047-M02,Device-0047,MNO-B,PROFILE-864ab69910015a5fee17
aura_rsp,C70FA2EF6480126EF57A563BF723F17A,IAC-A3087B6654E3237E4DE0A6F5F058B251,D0047-M02,Device-0047,MNO-B,PROFILE-864ab69910015a5fee17
standard_rsp,B8A61A1C8D98369B19E319D9CFB11BB7,MID-5BE0255546342BFE72BC4AAC0B93639E,D0092-M04,Device-0092,MNO-D,PROFILE-921b8ed9febe003d7c60
aura_rsp,48F5C6A8E9558083A708DB30E14FEE7B,IAC-27F593CE677FC0B209E35C1675934948,D0092-M04,Device-0092,MNO-D,PROFILE-921b8ed9febe003d7c60
standard_rsp,65BED463DF7FADBB8C920EAA12395F1E,MID-16EE8C381FE7E1F2A5586401794D0510,D0198-M03,Device-0198,MNO-C,PROFILE-c2000059b77947121102
aura_rsp,B786AE8C5F0A119DFE9478023DF6FD9A,IAC-B3B43A009D0CAEC3D1A76E68474A6C1E,D0198-M03,Device-0198,MNO-C,PROFILE-c2000059b77947121102
standard_rsp,D55231B55CF3C6AB72FC5EB89FC35732,MID-D9C5CEB8AFAF2C844FD07A36D011DF72,D0026-M04,Device-0026,MNO-D,PROFILE-44eea199345c705ed2b2
aura_rsp,25148210950FAB1712D7E80DF6FC4B23,IAC-207D03AA4EF306E9CFA878D985E4A460,D0026-M04,Device-0026,MNO-D,PROFILE-44eea199345c705ed2b2
standard_rsp,C0E8CA0A8758CEC8ADC0D7228F2A7E3F,MID-CD5AFD36FCC6D929DFDFF93BFF07D29C,D0130-M03,Device-0130,MNO-C,PROFILE-9b93ac71fa0af7062314
aura_rsp,D4C9491EF084FEF778823FE9CEB2E0FF,IAC-0D4478E7278427E4B9C94BA3C833EF6D,D0130-M03,Device-0130,MNO-C,PROFILE-9b93ac71fa0af7062314
standard_rsp,B4F33C1D22051F22703A2B13E3440885,MID-EB9552C0F5FD8BE186783A865EF22B53,D0238-M02,Device-0238,MNO-B,PROFILE-18b6bb7e4ce0dd77f58b
aura_rsp,9FC6F682A9D82100BEC5A65A03651350,IAC-D31E443F9F41DAC7524B19849D1E5EEB,D0238-M02,Device-0238,MNO-B,PROFILE-18b6bb7e4ce0dd77f58b
standard_rsp,3A34C04C847F9B518F0069F8C46C5259,MID-7276DEF3BA18584D98AE4C39EC0A78CC,D0076-M01,Device-0076,MNO-A,PROFILE-00dd2cdad114c4d55221
aura_rsp,3AA6CE949ABEAF7DD38F70F40562DA28,IAC-FAFD1414D6540A1C1357E11BF99EA38B,D0076-M01,Device-0076,MNO-A,PROFILE-00dd2cdad114c4d55221
standard_rsp,D37F5A9AE2C8916EF175F4735048193A,MID-45FFE92123213C0DC3034A9FFF634CA5,D0055-M02,Device-0055,MNO-B,PROFILE-ecb3ce9a36e449407098
aura_rsp,79C76C28D80F9D994B31B21B14D7DD83,IAC-BF7C6A9221C4ECB224A8C661CA252306,D0055-M02,Device-0055,MNO-B,PROFILE-ecb3ce9a36e449407098
standard_rsp,A4A0C3014ED6D0CCF2266D9A344D0A7A,MID-88F55E8CF2E2646719BCC5F3B8294602,D0049-M02,Device-0049,MNO-B,PROFILE-c4da17f23318b76f5386
aura_rsp,0E502FD22FFC2153D0C379AF4ADFF0DF,IAC-CDA81B4AA58720E3E3E621B27914B2C2,D0049-M02,Device-0049,MNO-B,PROFILE-c4da17f23318b76f5386
standard_rsp,E32E0833EA84EBD5C9C39C9A52DFEB48,MID-9730DC48D0A68820F25EA5F7DC1EA857,D0220-M02,Device-0220,MNO-B,PROFILE-b5b345d12e284dcc5682
aura_rsp,FD94CA2D844834A781DBF1141C2CFACA,IAC-6DC575AD6095B301B93A9CBD649B4D43,D0220-M02,Device-0220,MNO-B,PROFILE-b5b345d12e284dcc5682
standard_rsp,695E36428079FF1375C95BCEF98BF2A8,MID-9FD312CE2926E0B0D20D8442C306BAB5,D0094-M03,Device-0094,MNO-C,PROFILE-b536dad7634f2b7144a9
aura_rsp,A50C93C927466728E46D70383A9EA30B,IAC-AC45CED38ADBF0905088E95922AA6339,D0094-M03,Device-0094,MNO-C,PROFILE-b536dad7634f2b7144a9
standard_rsp,27BE201B37425D17B5743084900BE022,MID-8F32535C3BF05B414F43A2B6D4A0519F,D0227-M01,Device-0227,MNO-A,PROFILE-baec7cb7a6ecbb3e4cef
aura_rsp,0E14EEFB4EA755F5B0C020A83A0F89A5,IAC-2BB27963BB37930A5AA596596EB2D7BA,D0227-M01,Device-0227,MNO-A,PROFILE-baec7cb7a6ecbb3e4cef
standard_rsp,133E235615A370AB8881DAA1FB1648C8,MID-E4B635A93DC80C00C8C56B6984466F7A,D0084-M02,Device-0084,MNO-B,PROFILE-170f8177e789f63ef9d4
aura_rsp,C352FD859C1DE797647E6C1BE4DA3131,IAC-4039F4CCBA13384458A4797314937E97,D0084-M02,Device-0084,MNO-B,PROFILE-170f8177e789f63ef9d4
standard_rsp,DB458F2220E79471D63005721CD49CEE,MID-2E07C8FFE9B716D7F4B57456BBE61F8B,D0136-M03,Device-0136,MNO-C,PROFILE-9e4a61288375de83dc07
aura_rsp,21BA738A67D7CBAC3F7D8977990CF376,IAC-071359C773E04DA2C8363EB4487D7953,D0136-M03,Device-0136,MNO-C,PROFILE-9e4a61288375de83dc07
standard_rsp,6097735AB2298716112956EB48417EE6,MID-72D8D75FAD339E1A31C022E1A88F6FBC,D0090-M02,Device-0090,MNO-B,PROFILE-56d33ed0551288e3b8b1
aura_rsp,DF52D4E5710A84056DAF88B6EDEFAF2C,IAC-E8A5BAEFDD15DDBF915F98C2752BEEF6,D0090-M02,Device-0090,MNO-B,PROFILE-56d33ed0551288e3b8b1
standard_rsp,F5598F7FAA76AD6BC6B0F0494AEF895C,MID-206AB9A908E76BF31D13D5C6B9C4084B,D0223-M02,Device-0223,MNO-B,PROFILE-e09889b6a1e23cc43c37
aura_rsp,FF89B440A9C26A2FDE08B0AEDA6F3B67,IAC-7551CBBB63FC36E692342F6EB31BFFFE,D0223-M02,Device-0223,MNO-B,PROFILE-e09889b6a1e23cc43c37
standard_rsp,F326E711D590F73C0D4E8C2C6F66395F,MID-A67DF420AACF21EAF94193177BB59B07,D0175-M02,Device-0175,MNO-B,PROFILE-02c8581a41e67e4e02ae
aura_rsp,DE5D82062DC9B561759347E135D3C99C,IAC-AA4884210E7FD97B7E157B644E86FDD2,D0175-M02,Device-0175,MNO-B,PROFILE-02c8581a41e67e4e02ae
standard_rsp,CCBA3BCA0B7B5792514EF61F4B1EC5EA,MID-914988444F985F89B246E3AF11F1BBFD,D0124-M02,Device-0124,MNO-B,PROFILE-22a678c727760cfb85fb
aura_rsp,842D3270A034F33868F9A689EC328A10,IAC-3757783AC1CF3F26F62FD1C8336DEC64,D0124-M02,Device-0124,MNO-B,PROFILE-22a678c727760cfb85fb
standard_rsp,D1B6630B72813C85F490828A09E77410,MID-57577365D6E2E652CCFF38F21E0593B8,D0031-M04,Device-0031,MNO-D,PROFILE-97c6cf0c1e2c23a288aa
