protocol_mode,transaction_id,profile_id,pid_h,mno,lifecycle_link,event,counter,event_time_unix,semantic_scope
standard_rsp,B78D772024F1037FCCC6E733BE1CAFD9,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,89049032000000000000000000000164,downloaded,1,1800126180,controlled_audit_log
standard_rsp,B78D772024F1037FCCC6E733BE1CAFD9,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,89049032000000000000000000000164,installed,2,1800126190,controlled_audit_log
standard_rsp,B78D772024F1037FCCC6E733BE1CAFD9,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,89049032000000000000000000000164,enabled,3,1800126200,controlled_audit_log
aura_rsp,CF1E1EBF063113646EA3F50D16F73735,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,qNRdYIzlFtna6ghKQ40bmflMYh0Uc3rY_cBTFBdWbcE,downloaded,1,1800126180,controlled_audit_log
aura_rsp,CF1E1EBF063113646EA3F50D16F73735,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,qNRdYIzlFtna6ghKQ40bmflMYh0Uc3rY_cBTFBdWbcE,installed,2,1800126190,controlled_audit_log
aura_rsp,CF1E1EBF063113646EA3F50D16F73735,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,MNO-D,qNRdYIzlFtna6ghKQ40bmflMYh0Uc3rY_cBTFBdWbcE,enabled,3,1800126200,controlled_audit_log
standard_rsp,429721E0444D0EC02451603B891FD229,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,89049032000000000000000000000181,downloaded,1,1802413384,controlled_audit_log
standard_rsp,429721E0444D0EC02451603B891FD229,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,89049032000000000000000000000181,installed,2,1802413394,controlled_audit_log
standard_rsp,429721E0444D0EC02451603B891FD229,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,89049032000000000000000000000181,enabled,3,1802413404,controlled_audit_log
aura_rsp,94A7E9340D5A0A5893E2B0150629D244,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,hyjwXoZ9X0EugYwfDbIL-f2P5MwJicw9PQvgHGWmH9A,downloaded,1,1802413384,controlled_audit_log
aura_rsp,94A7E9340D5A0A5893E2B0150629D244,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,hyjwXoZ9X0EugYwfDbIL-f2P5MwJicw9PQvgHGWmH9A,installed,2,1802413394,controlled_audit_log
aura_rsp,94A7E9340D5A0A5893E2B0150629D244,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,MNO-B,hyjwXoZ9X0EugYwfDbIL-f2P5MwJicw9PQvgHGWmH9A,enabled,3,1802413404,controlled_audit_log
standard_rsp,D8A4D206A1F570AE9D49C61CDA480CD7,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,MNO-B,89049032000000000000000000000047,downloaded,1,1802120060,controlled_audit_log
standard_rsp,D8A4D206A1F570AE9D49C61CDA480CD7,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,MNO-B,89049032000000000000000000000047,installed,2,1802120070,controlled_audit_log
standard_rsp,D8A4D206A1F570AE9D49C61CDA480CD7,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,MNO-B,89049032000000000000000000000047,enabled,3,1802120080,controlled_audit_log
aura_rsp,C70FA2EF6480126EF57A563BF723F17A,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,MNO-B,xpIwyvMBr_OhXex0uAQBVS9jBRS69QdtG7Bf8emPiWU,downloaded,1,1802120060,controlled_audit_log
