protocol_mode,transaction_id,I_ac,sid,pid_h,op,mno,profile_id,profile_hash,profile_size,authentication_result,download_result,install_result,event_time_unix,network_egress,smdpp,eid,euicc_certificate_fingerprint,euicc_public_key_fingerprint,euicc_signature_hash,matching_id,server_challenge,nu,lph,opid,vk_t,proof_hash,Bind_t_hash,session_public_key
standard_rsp,B78D772024F1037FCCC6E733BE1CAFD9,MID-D369E054EFA6F8C525E314B70BAA797A,aura-smdpp.test,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,download,MNO-D,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,12207,accepted,completed,confirmed,1800126170,198.51.100.10,shared-smdpp.test,89049032000000000000000000000164,2baf82922374dad0e2f539af9fad286289b80e9a7ab6126c9dc22b43a9b3311b,934202136147ef0a9603ef09a5311e754d72361430bfbf1c1f6b70d1f14fc7d1,ac29515c3ed26f16e91c3f4323b12512e5c95d513b5a16d89ed954627502cdbf,MID-D369E054EFA6F8C525E314B70BAA797A,5361a6e365a41e45c2044c2d539f6c30,,,,,,,
aura_rsp,CF1E1EBF063113646EA3F50D16F73735,IAC-93F77912E023198202EA237DCD45E2A9,aura-smdpp.test,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,download,MNO-D,PROFILE-885a93eba8ff15dd4cba,0eed35f485d82917465ed231dadd5ff55d3b64a0e8554281bb6debe2419cf391,12207,accepted,completed,confirmed,1800126170,198.51.100.10,shared-smdpp.test,,,,,,,v3G-OOqcqOwYwat4nShCyj0_eZ8jtxLIgIBXvOXguRNakFQBG7fEqe5IsMLnUytF,qNRdYIzlFtna6ghKQ40bmflMYh0Uc3rY_cBTFBdWbcE,yCCv7I3Q0XeivZ2oGfefUQ,Fg6A2Zqqv9FYHhqBSsvYgXEzDTVjfEA9f5W-2En9dVA,3bfc89c6dc4c2436d6a3194434504a797bff7343b69af3652d65005fd929936b,a05d76c062f0e7a5b76028c7fe1e76e5964c65995c1c041b8e6d70ab445a3ddc,6RY4y8AD5nJ3fm4I7t8cp_MCbwQDolaNOYNChJc1jxI6wmDFeDe8uburqm4Dxt0MGdz9m8bVsXDTFHhZgcn3D9k
standard_rsp,429721E0444D0EC02451603B891FD229,MID-2E0F54408F4AB53FC6EF913F76742A2C,aura-smdpp.test,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,download,MNO-B,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,12207,accepted,completed,confirmed,1802413374,198.51.100.10,shared-smdpp.test,89049032000000000000000000000181,27eccec5a6e662a39c5d90f2f8f32b3c84dacdd235eaba30d89a20f747be87bc,4661176d30519a2ffe8c99fd5cf14df9784c8dd98dec9ca847d5fea1a32d5350,d1bf2c490fb5a001537d6aa64bed8e491c259f97a968a1ef0ce6f3b05a1963de,MID-2E0F54408F4AB53FC6EF913F76742A2C,369636c86a553caf585ec4101408fc3c,,,,,,,
aura_rsp,94A7E9340D5A0A5893E2B0150629D244,IAC-3C7F922B14CCF5C391773640590B07B7,aura-smdpp.test,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,download,MNO-B,PROFILE-8e462901519f2e13c399,2facc70ee9af92428d2eca86feccd51df64962734821d2510149fe4d738f5e10,12207,accepted,completed,confirmed,1802413374,198.51.100.10,shared-smdpp.test,,,,,,,R9uHA4XXuvx-q9oXelizdShD4THTZ0c7dzmo_Bl6lmCdxFV7q53vl7_1VN1HeO8A,hyjwXoZ9X0EugYwfDbIL-f2P5MwJicw9PQvgHGWmH9A,g1mc5jPnQdIta8QLzOj1-g,LMAn3DBojm0jSiOfjAyLP2nRdJszY7h7rcY3-o34wbc,cee617da519542771bd72f4eff402cff0ae2891ca9653cebb3264bd0baf15534,26a24bde992384838953d96e23634489dd437cea19b8084dc395e8a018b0bdec,9STgNoWSfP9iHTmJ_yCPcr8P7HqwOqmamU41ZbW-7Mt3Y7wzfNJjfkrlqhhj8EOgpUxzYn0Kyo_sDRjSp5eEhFw
standard_rsp,D8A4D206A1F570AE9D49C61CDA480CD7,MID-9D82EC33381F7418E67C3C95D91E8A70,aura-smdpp.test,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,download,MNO-B,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,12207,accepted,completed,confirmed,1802120050,198.51.100.10,shared-smdpp.test,89049032000000000000000000000047,c5034a2a00e23ab5aecb2b4739439be11322bad8abfbd2d9efd59643b8c3a3a3,3d88279557520418a4b2f87b18f82a8867541beb0d33d45cbb2f51d98475ae41,45d544dab99a36dc836067e2c11006648db62428e1793b74ed5d0e6cd7c8dc08,MID-9D82EC33381F7418E67C3C95D91E8A70,b4ed50e698b5745e1e98eecd779174c3,,,,,,,
aura_rsp,C70FA2EF6480126EF57A563BF723F17A,IAC-A3087B6654E3237E4DE0A6F5F058B251,aura-smdpp.test,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,download,MNO-B,PROFILE-864ab69910015a5fee17,fe8f9f259f17910be2f1a6cabda0c5c7a619ed52c00fdc3f65652f223ad4fc51,12207,accepted,completed,confirmed,1802120050,198.51.100.10,shared-smdpp.test,,,,,,,brO1VyI9BfN5Ybuxd8zsgQmUdImIGPOJkBbT_6YDvmcuqr6K5b3r9zRJOqUM6Rf3,xpIwyvMBr_OhXex0uAQBVS9jBRS69QdtG7Bf8emPiWU,T-097Jo7mTCeoI-6JlxY8g,0GeQp3EmVeEFbR0Yu8LG3v0cknFPal7dy8PBS18wLLg,c60559c5b0fe5fc17737057660ce3ee5742cabadc817fa0444a1571886801e39,040510a184db5b0286d565e2d861ad4dbcf12f7de640f86b1c93acb7b0c77e0d,I-sgmveMEl0OT4RaEbhj-Zv6Q9_w64Tbm4250FmLb5WmP2ZRrlPTFi4iTexJa98EzrJ_iKT_NI6pfJfQLaRq2vg
standard_rsp,B8A61A1C8D98369B19E319D9CFB11BB7,MID-5BE0255546342BFE72BC4AAC0B93639E,aura-smdpp.test,711f64b357edabbb7382e7403c308410c24cfedce4e7ed171590dc5ad82a93e4,download,MNO-D,PROFILE-921b8ed9febe003d7c60,711f64b357edabbb7382e7403c308410c24cfedce4e7ed171590dc5ad82a93e4,12207,accepted,completed,confirmed,1800129193,198.51.100.10,shared-smdpp.test,89049032000000000000000000000092,08e37d6e980c227e6de410dfa1bc8e94170b630e10cb578e06c069beb42ce66d,a0bfd85cb8d5bd91ec95416f884702bf750d7e893efff43a2d9109a08b95d340,062d15f80689989269a09cd64d0900d78d0dad474e1c9893071bce7064b5269e,MID-5BE0255546342BFE72BC4AAC0B93639E,13f0de073d763db2dd90e465e87a0f92,,,,,,,
aura_rsp,48F5C6A8E9558083A708DB30E14FEE7B,IAC-27F593CE677FC0B209E35C1675934948,aura-smdpp.test,711f64b357edabbb7382e7403c308410c24cfedce4e7ed171590dc5ad82a93e4,download,MNO-D,PROFILE-921b8ed9febe003d7c60,711f64b357edabbb7382e7403c308410c24cfedce4e7ed171590dc5ad82a93e4,12207,accepted,completed,confirmed,1800129193,198.51.100.10,shared-smdpp.test,,,,,,,3ihrbYgVHnf7siCbKbHq-AUOYr_njhRKz541g0dMl9sFKXoAaulpYwJmj1oAhqmp,gE_tqBN7IBUOYjp-DQ0L1IMZ0TcDZz5CTUOezkR7tbk,ewd6vgphhja846dFdN5DnA,TZ9fM8c93rOExsSfv0uTnV7Wqf-JObWOvSkurMq1aa8,bdfee5483671f8c89aaa483b745338c7a2842c05e5b166ab6f6cccf5ab3020a0,953af74277b2087d14f16502b58c3cb15ae1eeedb730b4756e64ca3d074730c4,7nyHA_ZrsmNQe-udcH9c4qBMluMPerBw6PQcEodrTN-_knQvoFKBb5BSbri7lxWVVF6YGjxD20uomXJqOBUStuU
standard_rsp,65BED463DF7FADBB8C920EAA12395F1E,MID-16EE8C381FE7E1F2A5586401794D0510,aura-smdpp.test,97ca8afd79a1c6c50bf31fed83936480de682dc572da597ecc8faefae1d98594,download,MNO-C,PROFILE-c2000059b77947121102,97ca8afd79a1c6c50bf31fed83936480de682dc572da597ecc8faefae1d98594,12207,accepted,completed,confirmed,1801856480,198.51.100.10,shared-smdpp.test,89049032000000000000000000000198,68824202ec00bc66ff2148a058092e68736e848270b7c7052f0533158403dd73,cde169122b6159b0052fdc92020bd30f42ce9727ee95cb104d65ab7b25e68df1,db804fcae52cb66af8ea891f14f9f35b6cdc341e6818d43cd035df0640feea7b,MID-16EE8C381FE7E1F2A5586401794D0510,14f3b5656dbbe34df025f930f896a51a,,,,,,,
aura_rsp,B786AE8C5F0A119DFE9478023DF6FD9A,IAC-B3B43A009D0CAEC3D1A76E68474A6C1E,aura-smdpp.test,97ca8afd79a1c6c50bf31fed83936480de682dc572da597ecc8faefae1d98594,download,MNO-C,PROFILE-c2000059b77947121102,97ca8afd79a1c6c50bf31fed83936480de682dc572da597ecc8faefae1d98594,12207,accepted,completed,confirmed,1801856480,198.51.100.10,shared-smdpp.test,,,,,,,PYPh32oStn879Z9kqeEzRccS8K4AlO0LgBcXFESOdwuM5WSyZFfjIpL8_O-C_zqt,ShknQEPgxGsMXwZkueQeiqdzuDpF7shvIQ8olwTOY6Y,PnZ-ZmqPGzMsmYJ6johrbw,KorMWnkTtzVulvhybh-TfrZM7RojUUE__Binr4tULmE,ee4749a2a44fe15ff29799b922617cea4b0dc10bab831de3467a3efcf1085661,ab0db9c8629894047f9bfa0e4808ac33a8e8ddde597bdb9b9c42b32265dff373,ZBnHdwDdI6MHbkIIrzTcaqnCAXmaFQYuGpd1VuzkeIjY_OSOsDcPHRNVudgrfb3nCjkZ7huWK23qloHkKVAu16Q
standard_rsp,D55231B55CF3C6AB72FC5EB89FC35732,MID-D9C5CEB8AFAF2C844FD07A36D011DF72,aura-smdpp.test,87ab971563caba24ab2e92e89037073dd31a7f76e9ae7c190b9a04c70fe9e1ed,download,MNO-D,PROFILE-44eea199345c705ed2b2,87ab971563caba24ab2e92e89037073dd31a7f76e9ae7c190b9a04c70fe9e1ed,12207,accepted,completed,confirmed,1801122766,198.51.100.10,shared-smdpp.test,89049032000000000000000000000026,c4b35a7856b663eeb2061b1076e65944df2f3bbee32025cb12253d8507a92b17,44a9b105672a4073451d9bfded1955f7faf8c22d7af8d63e973fc2f449eed3b7,a7efdf26fa50a611c7457e95dd2d9929285423efc9969c801f43a0848bddd7c4,MID-D9C5CEB8AFAF2C844FD07A36D011DF72,2204123c5d62f17cfab74c2271c13798,,,,,,,
