action,attack_field,event_index,mode,proof_generated,proof_valid,reason
cached,exact_replay,1,paper_reference,False,True,exact_context_replay
cached,exact_replay,2,current_source,False,True,exact_context_replay
rejected,N_S,3,paper_reference,False,False,local_ticket_context_conflict
rejected,N_S,4,current_source,False,False,local_ticket_context_conflict
rejected,I_t,5,paper_reference,False,False,local_ticket_context_conflict
rejected,I_t,6,current_source,False,False,local_ticket_context_conflict
rejected,cap,7,paper_reference,False,False,local_ticket_context_conflict
rejected,cap,8,current_source,False,False,local_ticket_context_conflict
rejected,serverOID,9,paper_reference,False,False,local_ticket_context_conflict
rejected,serverOID,10,current_source,False,False,local_ticket_context_conflict
rejected,sid,11,paper_reference,False,False,server_authentication_context_mismatch
rejected,sid,12,current_source,False,False,server_authentication_context_mismatch
rejected,pid_h,13,paper_reference,False,False,invalid_mno_ticket_signature
rejected,pid_h,14,current_source,False,False,invalid_mno_ticket_signature
rejected,op,15,paper_reference,False,False,invalid_mno_ticket_signature
rejected,op,16,current_source,False,False,invalid_mno_ticket_signature
rejected,PRaddr,17,paper_reference,False,False,server_authentication_context_mismatch
rejected,PRaddr,18,current_source,False,False,server_authentication_context_mismatch
