created_at,database,detail_json,event,id,lph,outcome,reason,rid
1785414718,6a.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414718,6a.sqlite,"{""ctr"": 2, ""idempotent"": false, ""last_hash"": ""65f4d0b097efbbefa799420ebeba74356e149dbbf18b781f9761fe04b5d8e9f4"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-b031661ed6343593762bd8a5"", ""state"": ""enabled"", ""status"": ""accepted""}",transition,2,lph:exp06:profile-001,accepted,,rid-b031661ed6343593762bd8a5
1785414741,6a.sqlite,"{""ctr"": 3, ""idempotent"": false, ""last_hash"": ""dd0398e53d527d5c0c87bb9e95181c90edd58014aad4db4b94128092a7e32fd8"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-f6025aa79e75d0f2b64cc944"", ""state"": ""disabled"", ""status"": ""accepted""}",transition,3,lph:exp06:profile-001,accepted,,rid-f6025aa79e75d0f2b64cc944
1785414741,6a.sqlite,"{""stage"": ""replay_detection""}",transition,4,lph:exp06:profile-001,rejected,STALE_RECEIPT_REPLAY,rid-b031661ed6343593762bd8a5
1785414742,6a.sqlite,"{""ctr"": 3, ""idempotent"": true, ""last_hash"": ""dd0398e53d527d5c0c87bb9e95181c90edd58014aad4db4b94128092a7e32fd8"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-f6025aa79e75d0f2b64cc944"", ""state"": ""disabled"", ""status"": ""accepted""}",transition,5,lph:exp06:profile-001,idempotent,,rid-f6025aa79e75d0f2b64cc944
1785414719,6b-ctr.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414719,6b-ctr.sqlite,"{""stage"": ""counter""}",transition,2,lph:exp06:profile-001,rejected,COUNTER_MISMATCH,rid-f48777789bad7f3f1123da2c
1785414719,6b-last-hash.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414719,6b-last-hash.sqlite,"{""stage"": ""last_hash""}",transition,2,lph:exp06:profile-001,rejected,LAST_HASH_MISMATCH,rid-ec011ae03908641c8ed6980d
1785414719,6b-lph.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414719,6b-lph.sqlite,"{""stage"": ""profile_lookup""}",transition,2,lph:exp06:profile-001:tampered,rejected,UNKNOWN_LPH,rid-5480518906ffa12d5f2fea15
1785414720,6b-mac.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414720,6b-mac.sqlite,"{""stage"": ""receipt_authentication""}",transition,2,lph:exp06:profile-001,rejected,INVALID_RECEIPT_MAC,rid-830868f88052ad529293e312
1785414719,6b-rid.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414720,6b-rid.sqlite,"{""stage"": ""authorization""}",transition,2,lph:exp06:profile-001,rejected,AUTHORIZATION_NOT_FOUND,rid-ac981d6385d4fb199e6aa253
1785414718,6b-st-new.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414718,6b-st-new.sqlite,"{""stage"": ""state_transition""}",transition,2,lph:exp06:profile-001,rejected,INVALID_STATE_TRANSITION,rid-7cea2a001a763333e574e887
1785414718,6b-st-old.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414718,6b-st-old.sqlite,"{""stage"": ""state_predecessor""}",transition,2,lph:exp06:profile-001,rejected,STATE_PREDECESSOR_MISMATCH,rid-8dece5c68bd81a2ba490add7
1785414720,6c.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414720,6c.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""e309affcf05e7ba9387288fdd0ca4011491c743ed431c141cb89f9d3e6467eba"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""edHCQ9q9eAkMzoCim9qCDgitgez8N4ljJDRVYgHreGI="", ""prepare_hash"": ""e309affcf05e7ba9387288fdd0ca4011491c743ed431c141cb89f9d3e6467eba"", ""rid"": ""rid-891ced28b11e6e4c48d9918e"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": false, ""status"": ""pending-delete""}",prepare-delete,2,lph:exp06:profile-001,accepted,,rid-891ced28b11e6e4c48d9918e
1785414720,6c.sqlite,"{""stage"": ""state_predecessor""}",transition,3,lph:exp06:profile-001,rejected,STATE_PREDECESSOR_MISMATCH,rid-dc9c34b3e05888981bac3bb9
1785414720,6d.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414721,6d.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""4914c9aa7016d31f12fc9eb9c4a807fdc1e60ee4f36679e5ea909c63106e4232"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""wQWuGAs8+GRICMd90P1gWq7ZmxUjp6gK8OVYsGVkoYk="", ""prepare_hash"": ""4914c9aa7016d31f12fc9eb9c4a807fdc1e60ee4f36679e5ea909c63106e4232"", ""rid"": ""rid-42bacfc79cd948c34c6860f3"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": false, ""status"": ""pending-delete""}",prepare-delete,2,lph:exp06:profile-001,accepted,,rid-42bacfc79cd948c34c6860f3
1785414721,6d.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""4914c9aa7016d31f12fc9eb9c4a807fdc1e60ee4f36679e5ea909c63106e4232"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""wQWuGAs8+GRICMd90P1gWq7ZmxUjp6gK8OVYsGVkoYk="", ""prepare_hash"": ""4914c9aa7016d31f12fc9eb9c4a807fdc1e60ee4f36679e5ea909c63106e4232"", ""rid"": ""rid-42bacfc79cd948c34c6860f3"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": true, ""status"": ""pending-delete""}",prepare-delete,3,lph:exp06:profile-001,idempotent,,rid-42bacfc79cd948c34c6860f3
1785414721,6e-ack-loss.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414721,6e-ack-loss.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""951aa85ce5337ad06b27d1afa6a7fada5ffab3933dbac5927870074801b05121"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""x0zSR9B6xwuNdWlXZrKhMM+zCHLyYIeAIpsCozjAoZ0="", ""prepare_hash"": ""951aa85ce5337ad06b27d1afa6a7fada5ffab3933dbac5927870074801b05121"", ""rid"": ""rid-ddcbedc16316eeac5286c5eb"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": false, ""status"": ""pending-delete""}",prepare-delete,2,lph:exp06:profile-001,accepted,,rid-ddcbedc16316eeac5286c5eb
1785414721,6e-ack-loss.sqlite,"{""ctr"": 3, ""idempotent"": false, ""last_hash"": ""20874733985de17cbcbb056675d97bdd71e150eed9dcc4c69b47c7b3e1b25cbd"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-ddcbedc16316eeac5286c5eb"", ""state"": ""tombstone"", ""status"": ""tombstone""}",commit-delete,3,lph:exp06:profile-001,accepted,,rid-ddcbedc16316eeac5286c5eb
1785414721,6e-ack-loss.sqlite,"{""ctr"": 3, ""idempotent"": true, ""last_hash"": ""20874733985de17cbcbb056675d97bdd71e150eed9dcc4c69b47c7b3e1b25cbd"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-ddcbedc16316eeac5286c5eb"", ""state"": ""tombstone"", ""status"": ""tombstone""}",commit-delete,4,lph:exp06:profile-001,idempotent,,rid-ddcbedc16316eeac5286c5eb
1785414721,6e-message-loss.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414721,6e-message-loss.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""dbdcc0177d19952e6bd3c6938cd8faaca1e35bad25433ddbb63445c41b713b90"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""NLXhr7kkXM8w6cEPTV3jAuCuOrxZaeCfy3gBBQcWU5k="", ""prepare_hash"": ""dbdcc0177d19952e6bd3c6938cd8faaca1e35bad25433ddbb63445c41b713b90"", ""rid"": ""rid-025d7b1a72bc36fbd29ecc15"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": false, ""status"": ""pending-delete""}",prepare-delete,2,lph:exp06:profile-001,accepted,,rid-025d7b1a72bc36fbd29ecc15
1785414721,6e-message-loss.sqlite,"{""ctr"": 3, ""idempotent"": false, ""last_hash"": ""2046736de0548ae9eebde7c9a25c88afa46a6182db09367eb4dc1dbaf8c5210f"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-025d7b1a72bc36fbd29ecc15"", ""state"": ""tombstone"", ""status"": ""tombstone""}",commit-delete,3,lph:exp06:profile-001,accepted,,rid-025d7b1a72bc36fbd29ecc15
1785414721,6f.sqlite,"{""ctr"": 1, ""last_hash"": ""83828257114aa427bad86795d589c2b9db65cb74ae80ca1c180493292f83b9ff"", ""salt_p_stored"": false, ""state"": ""installed""}",initialize,1,lph:exp06:profile-001,accepted,,
1785414722,6f.sqlite,"{""Rprep"": {""ctr"": 2, ""last_hash"": ""2fca50b1c696d69d7dc4b3e667a940c7887fa367dd7982bc9b59e5ed7cdbb1f8"", ""lph"": ""lph:exp06:profile-001"", ""mac"": ""8SSioc9CpL9xs30uivCemMVds9m+KbWtd16ahquYw0k="", ""prepare_hash"": ""2fca50b1c696d69d7dc4b3e667a940c7887fa367dd7982bc9b59e5ed7cdbb1f8"", ""rid"": ""rid-f5e73209c264113fbc3fc266"", ""state"": ""pending-delete"", ""type"": ""Rprep""}, ""idempotent"": false, ""status"": ""pending-delete""}",prepare-delete,2,lph:exp06:profile-001,accepted,,rid-f5e73209c264113fbc3fc266
1785414722,6f.sqlite,"{""ctr"": 3, ""idempotent"": false, ""last_hash"": ""64f33d60e2720f89b249f72cc06324f781da0fd5b4ebe66c447fbeae4a016c55"", ""lph"": ""lph:exp06:profile-001"", ""rid"": ""rid-f5e73209c264113fbc3fc266"", ""state"": ""tombstone"", ""status"": ""tombstone""}",commit-delete,3,lph:exp06:profile-001,accepted,,rid-f5e73209c264113fbc3fc266
