a_signature_valid_with_a_key,a_signature_valid_with_b_key,accepted,bind_t_generated,bound_profile_package_reached,elapsed_ms,http_status,mutated_field,profile_delivery_reached,proof_reason,proof_valid_for_mutated_context,protocol,reason,rejection_stage,request_bytes,scenario,white_box_cloned_session
,,False,False,,12.057,404,none,False,,True,AURA-RSP,UNKNOWN_TRANSACTION,session_lookup,3101,direct_replay_to_server_b,False
,,False,False,,13.27,403,sid,False,gamma/context mismatch,False,AURA-RSP,INVALID_OR_EXPIRED_TICKET,server_context_or_ticket,3101,modify_sid,True
,,False,False,,14.577,401,serverOID,False,gamma/context mismatch,False,AURA-RSP,INVALID_TAU_AUTH,cryptographic_authentication,3101,modify_server_oid,True
,,False,False,,10.813,403,PRaddr,False,gamma/context mismatch,False,AURA-RSP,INVALID_OR_EXPIRED_TICKET,server_context_or_ticket,3101,modify_praddr,True
True,False,False,False,,0.0,0,transport_target,False,,True,AURA-RSP,SERVER_AUTH_SIGNATURE_MISMATCH,server_authentication,3101,replace_target_address_only,False
,,False,False,,15.14,401,cap,False,gamma/context mismatch,False,AURA-RSP,INVALID_TAU_AUTH,cryptographic_authentication,3103,modify_cap,True
,,False,False,,22.577,401,N_S,False,gamma/context mismatch,False,AURA-RSP,INVALID_TAU_AUTH,cryptographic_authentication,3101,modify_transaction_nonce,True
,,False,,False,,,,,,,Standard RSP,TRANSACTION_ID_UNKNOWN,session_lookup,,direct_replay_to_server_b,
,,False,,False,,,,,,,Standard RSP,SERVER_CHALLENGE_MISMATCH,session_challenge,,replace_outer_transaction_id,
,,False,,False,,,,,,,Standard RSP,EUICC_SIGNATURE_INVALID,euicc_signature,,modify_signed_server_address,
,,False,,False,,,,,,,Standard RSP,TLS_HOSTNAME_MISMATCH,tls_server_authentication,,replace_target_address_only,
