accepted,aead_verified,category,ctx_k_verified,elapsed_ms,installed,order_digest_checked,order_digest_match,profile_hash,reason,receipt_generated,receipt_mac_valid,rejection_stage,scenario,server_declared_digest_verified,server_signature_verified,threat_model,ticket_pid_h,white_box,wire_bytes
True,True,positive_control,True,0.261,True,True,True,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,PROFILE_ACCEPTED,True,True,none,honest_session_a,True,True,honest,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,17053
True,True,positive_control,True,0.196,True,True,True,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,PROFILE_ACCEPTED,True,True,none,honest_session_b,True,True,honest,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,17053
False,False,10A,True,0.095,False,False,,,INVALID_SERVER_KEY_EXCHANGE_SIGNATURE,False,False,server_signature,10a_ciphertext_flip_network,False,False,network_mitm,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,17053
False,False,10A,True,0.176,False,False,,,PROFILE_AEAD_AUTHENTICATION_FAILED,False,False,aead,10a_ciphertext_flip_resigned,False,True,white_box_defense_depth,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,True,17053
False,False,10A,True,0.16,False,False,,,PROFILE_AEAD_AUTHENTICATION_FAILED,False,False,aead,10a_tag_flip_resigned,False,True,white_box_defense_depth,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,True,17053
False,False,10B,False,0.001,False,False,,,CTX_K_MISMATCH,False,False,ctx_k_binding,10b_whole_package_a_to_b,False,False,network_mitm,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,17053
False,False,10B,True,0.188,False,False,,,PROFILE_AEAD_AUTHENTICATION_FAILED,False,False,aead,10b_ciphertext_a_in_b_resigned,False,True,white_box_defense_depth,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,True,17053
False,True,10C,True,0.178,False,True,False,8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d,PROFILE_ORDER_DIGEST_MISMATCH,False,False,order_pid_h,10c_current_client_wrong_profile,True,True,malicious_smdpp_valid_keys,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,16465
True,True,negative_control,True,0.195,True,False,False,8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d,PROFILE_ACCEPTED,True,True,none,10c_without_order_check_control,True,True,fault_injection_order_check_removed,38c7d4b90141e1886d045603bbfd938b64449247f097baa328f8356c0bcd2422,False,16465
True,True,trust_boundary,True,0.178,True,True,True,8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d,PROFILE_ACCEPTED,True,True,none,business_boundary_joint_wrong_authorization,True,True,mno_and_smdpp_joint_authorization,8ec130b606bfd3b12553e5d05027d171a13c63148d67444f142f266dc2e35f8d,False,16465
