ingress_id,session_id,cost,time_residual_ms,size_residual_bytes,features,correct,recovered_device_ip,evaluation_device_id
IN-36271b3a87f0a65621637ca403,SESS-233696969abbe22921cfe808b3,0.001163636,0.064,4.0,time-only,True,198.18.0.63,Device-063
IN-6f4f95b144f0a86fb08761e53f,SESS-7bb2172476aa111ac9bb8d8669,0.002472727,0.136,7.0,time-only,True,198.18.0.52,Device-052
IN-0ed648f4b106b7b52805c56ce6,SESS-6e7aa65e9979addb1fce3d14bd,0.002963636,0.163,5.0,time-only,True,198.18.0.45,Device-045
IN-706e1faea62ae66f2ab233fa00,SESS-c8e0e340bbb70eca5f1b558ffe,0.003109091,0.171,9.0,time-only,True,198.18.0.69,Device-069
IN-3d47b167955e7c9c01a824cd9e,SESS-47d9efd15386a4c27bb6a17c10,0.003290909,0.181,5.0,time-only,True,198.18.0.14,Device-014
IN-6a044c3a194e1432585e0d0682,SESS-781331f2a9ce79a34ac2a44ba9,0.0038,0.209,409.0,time-only,False,198.18.0.16,Device-016
IN-3ec54ddbd4e9447ea4d43bdd1c,SESS-e238aeebfdd62b2153ec9cae12,0.007163636,0.394,1489.0,time-only,False,198.18.0.29,Device-029
IN-000123e629c4db4c29ad214185,SESS-d7b314bfcf68b686dec32b25b2,0.008527273,0.469,1574.0,time-only,False,198.18.0.19,Device-019
IN-1546a39500dd1ff4a812ecc4a7,SESS-d87247436c61b69ad1827d267d,0.0086,0.473,6.0,time-only,True,198.18.0.26,Device-026
IN-f61dfeb085ae81db10dd535c52,SESS-6e0d15bea292777be43db6f850,0.009727273,0.535,652.0,time-only,False,198.18.0.42,Device-042
IN-c9a7c3f593ff5154d14f7231d6,SESS-6026aa272fa466c1ca2144f99d,0.010054545,0.553,38.0,time-only,False,198.18.0.65,Device-065
IN-77f3e43e1a4967ab7273da2bbb,SESS-8dbc7ad89222ce506ac3f23733,0.013763636,0.757,6.0,time-only,True,198.18.0.69,Device-069
IN-553154a5211254fa28f594c4fe,SESS-f0a381716ab080f953fd4d84d6,0.016909091,0.93,5.0,time-only,True,198.18.0.33,Device-033
IN-dacb73be33dbeba434c92c6355,SESS-0f989a60c5fdf74657d35fdf01,0.017981818,0.989,386.0,time-only,False,198.18.0.71,Device-071
IN-8c70082374307598bc46785bdd,SESS-5072c60f093615ce3928796f91,0.019854545,1.092,5.0,time-only,True,198.18.0.43,Device-043
IN-017e242464f1c7d1230ca14419,SESS-38f4458c22d8353961dcad9bf2,0.023636364,1.3,3.0,time-only,True,198.18.0.96,Device-096
IN-3a7b82f0178b3da12c1cb7a586,SESS-037f4b65e9cad8885959a74f3b,0.026145455,1.438,5.0,time-only,True,198.18.0.8,Device-008
IN-103f4eebefdc63da7e1099e21a,SESS-c4b311c31f72dc3212e8601a22,0.027363636,1.505,5.0,time-only,True,198.18.0.74,Device-074
IN-97d325b5b12d6fa78d84bed798,SESS-01eccd0031d79870d02fdc9f5a,0.027727273,1.525,1.0,time-only,True,198.18.0.77,Device-077
IN-7d7c3edc85298b9336288adc18,SESS-3be7bd7e2b9caae99498b8fc91,0.029054545,1.598,945.0,time-only,False,198.18.0.84,Device-084
IN-b4ad1bfada5fae9e9742774444,SESS-af055f4d85e829d8fdb77d5640,0.030636364,1.685,2679.0,time-only,False,198.18.0.56,Device-056
IN-bc4f33b0ee06738fecf9b59f3c,SESS-89881f4fb4139cde2c488c2277,0.032054545,1.763,6.0,time-only,True,198.18.0.32,Device-032
IN-f3bb1ec072bac21a38f441f457,SESS-09b536f2a2a4f03f13c677902e,0.032872727,1.808,8.0,time-only,True,198.18.0.85,Device-085
IN-3769b26bbfa8c193afbc5eda55,SESS-0503673a2372b1b1b4158bfdd3,0.034727273,1.91,5.0,time-only,True,198.18.0.72,Device-072
IN-34a4bb369a0a22353a09e511d5,SESS-757390eb33fb31b4a915cd252c,0.035436364,1.949,2110.0,time-only,False,198.18.0.93,Device-093
IN-7d6270e246a45d3c0f77383d5d,SESS-d9c335272b7486993814f9ec3a,0.035981818,1.979,7.0,time-only,True,198.18.0.2,Device-002
IN-599ea976d3da609150ea381685,SESS-937e275badac9966f03693f840,0.039127273,2.152,2.0,time-only,True,198.18.0.27,Device-027
IN-038553017c50750182ebf3cb90,SESS-06c4ae981ed8a652e49d3d408e,0.039327273,2.163,5.0,time-only,True,198.18.0.24,Device-024
IN-d89ec4fc2121bd69163debe6bd,SESS-e12101bf24c7f4889a0db83b0c,0.039690909,2.183,6.0,time-only,True,198.18.0.77,Device-077
IN-7808ab4d6cba1e60c712db441a,SESS-66043aea0e27ff944b6f587cff,0.045618182,2.509,5.0,time-only,True,198.18.0.15,Device-015
IN-a8aed5d0e9178cfc8eb32f4b7f,SESS-be7dedc6d6dc397584c119d140,0.046490909,2.557,5.0,time-only,True,198.18.0.21,Device-021
IN-b96be3fd394be82f53031c146e,SESS-efca7c3d3228a5120496926191,0.048454545,2.665,263.0,time-only,False,198.18.0.48,Device-048
IN-187d396d088e9e668665120ffc,SESS-1607a71120e5da599cbc9b7a1d,0.049472727,2.721,890.0,time-only,False,198.18.0.60,Device-060
IN-da6bcaa1f0719a3a7ec39ae9e6,SESS-121d3d87352c332a91e9497e06,0.050763636,2.792,8.0,time-only,True,198.18.0.22,Device-022
IN-786516409142ef547e86de43cc,SESS-d7564fecbf2512c0056b293382,0.053727273,2.955,2.0,time-only,True,198.18.0.33,Device-033
IN-c5d2c0e25cf275fe6d572ee121,SESS-13c43fb01f39f4a46885f70c3e,0.054472727,2.996,4.0,time-only,True,198.18.0.80,Device-080
IN-f4654a5724ab8e9d285d945ee2,SESS-bc01d161c359e004d8e92235f8,0.0598,3.289,1.0,time-only,True,198.18.0.32,Device-032
IN-045d4f66af89f33a8e788ac8a3,SESS-169a41d8fd5afc54473e2e1e63,0.062581818,3.442,5.0,time-only,True,198.18.0.51,Device-051
IN-98b5f4fa35609aae0fa88b31b8,SESS-1891657c7ff197f92683b6ec7d,0.062690909,3.448,9.0,time-only,True,198.18.0.70,Device-070
IN-a93566d5a0c248b26ee01dd2b0,SESS-4e8737c55a280f86b2cd833324,0.064509091,3.548,23.0,time-only,False,198.18.0.39,Device-039
IN-81dbfd2d548938f859ed0885ee,SESS-d70ac48579d41b16cfa0303272,0.064818182,3.565,5.0,time-only,True,198.18.0.31,Device-031
IN-5f6b13f1e70a928b0afe8432be,SESS-ae9d6971d8401823768228a9d3,0.065981818,3.629,2.0,time-only,True,198.18.0.95,Device-095
IN-9d79ce2ce1aff1900e0d4a6586,SESS-9a895381a7a4a601b4cd606440,0.067272727,3.7,4.0,time-only,True,198.18.0.23,Device-023
IN-740ce5c5695cb586b09fe470b9,SESS-777545752be3afda631e800301,0.067472727,3.711,10.0,time-only,True,198.18.0.38,Device-038
IN-098b254dc8c20f990638bfa956,SESS-2cb8ab99771e72f046bf828be2,0.067727273,3.725,3.0,time-only,True,198.18.0.88,Device-088
IN-394e69af2b3abbca8e203d1593,SESS-0b1da151cc33c81a5ea3e335cf,0.068581818,3.772,4.0,time-only,True,198.18.0.44,Device-044
IN-b0b0df157586e3b12a702f1bf2,SESS-1969dffe6282e0fbf7bbb8a91a,0.068672727,3.777,5.0,time-only,True,198.18.0.55,Device-055
IN-678cc2c4dea5cb2836451e4400,SESS-088c136c43e8a9436f377d849d,0.069345455,3.814,8.0,time-only,True,198.18.0.35,Device-035
IN-95f802c6275e662caf2aacb5ca,SESS-0f7c43447ee26244ad94b8169b,0.070345455,3.869,10.0,time-only,True,198.18.0.75,Device-075
IN-350b6fddb97cc64cb0e902b4fa,SESS-d1600c8e68028f1736ccdb7375,0.070763636,3.892,6.0,time-only,True,198.18.0.27,Device-027
