ingress_id,session_id,cost,time_residual_ms,size_residual_bytes,features,correct,recovered_device_ip,evaluation_device_id
IN-97d325b5b12d6fa78d84bed798,SESS-01eccd0031d79870d02fdc9f5a,0.055505051,1.525,1.0,time+size,True,198.18.0.77,Device-077
IN-f61dfeb085ae81db10dd535c52,SESS-9e5bfc7c66558c7e858214c123,0.071210101,0.861,2.0,time+size,True,198.18.0.42,Device-042
IN-4f7d146c5d4f94b1c1864fc27f,SESS-2ecb5af5815ca586870264c45d,0.085363636,4.695,0.0,time+size,True,198.18.0.46,Device-046
IN-f4654a5724ab8e9d285d945ee2,SESS-bc01d161c359e004d8e92235f8,0.087577778,3.289,1.0,time+size,True,198.18.0.32,Device-032
IN-599ea976d3da609150ea381685,SESS-937e275badac9966f03693f840,0.094682828,2.152,2.0,time+size,True,198.18.0.27,Device-027
IN-f9997b56e6eaa293c688b0f28f,SESS-874313f784b965f1723d7ee39d,0.100686869,4.01,1.0,time+size,True,198.18.0.1,Device-001
IN-017e242464f1c7d1230ca14419,SESS-38f4458c22d8353961dcad9bf2,0.106969697,1.3,3.0,time+size,True,198.18.0.96,Device-096
IN-786516409142ef547e86de43cc,SESS-d7564fecbf2512c0056b293382,0.109282828,2.955,2.0,time+size,True,198.18.0.33,Device-033
IN-36271b3a87f0a65621637ca403,SESS-233696969abbe22921cfe808b3,0.112274747,0.064,4.0,time+size,True,198.18.0.63,Device-063
IN-5f6b13f1e70a928b0afe8432be,SESS-ae9d6971d8401823768228a9d3,0.121537374,3.629,2.0,time+size,True,198.18.0.95,Device-095
IN-0ed648f4b106b7b52805c56ce6,SESS-6e7aa65e9979addb1fce3d14bd,0.141852525,0.163,5.0,time+size,True,198.18.0.45,Device-045
IN-3d47b167955e7c9c01a824cd9e,SESS-47d9efd15386a4c27bb6a17c10,0.142179798,0.181,5.0,time+size,True,198.18.0.14,Device-014
IN-098b254dc8c20f990638bfa956,SESS-2cb8ab99771e72f046bf828be2,0.151060606,3.725,3.0,time+size,True,198.18.0.88,Device-088
IN-553154a5211254fa28f594c4fe,SESS-f0a381716ab080f953fd4d84d6,0.15579798,0.93,5.0,time+size,True,198.18.0.33,Device-033
IN-8c70082374307598bc46785bdd,SESS-5072c60f093615ce3928796f91,0.158743434,1.092,5.0,time+size,True,198.18.0.43,Device-043
IN-239bf3343ffc65fdd698776194,SESS-7cf5f9b66b46270a4b0c99ea5e,0.158868687,7.21,1.0,time+size,True,198.18.0.38,Device-038
IN-354dc951b1d2eb2f8d4a0dd760,SESS-781331f2a9ce79a34ac2a44ba9,0.161434343,1.24,5.0,time+size,True,198.18.0.34,Device-034
IN-3a7b82f0178b3da12c1cb7a586,SESS-037f4b65e9cad8885959a74f3b,0.165034343,1.438,5.0,time+size,True,198.18.0.8,Device-008
IN-c5d2c0e25cf275fe6d572ee121,SESS-13c43fb01f39f4a46885f70c3e,0.165583838,2.996,4.0,time+size,True,198.18.0.80,Device-080
IN-103f4eebefdc63da7e1099e21a,SESS-c4b311c31f72dc3212e8601a22,0.166252525,1.505,5.0,time+size,True,198.18.0.74,Device-074
IN-000123e629c4db4c29ad214185,SESS-a2a5fb4d59f6b1058a95d9dd7c,0.168765657,3.171,4.0,time+size,True,198.18.0.19,Device-019
IN-3769b26bbfa8c193afbc5eda55,SESS-0503673a2372b1b1b4158bfdd3,0.173616162,1.91,5.0,time+size,True,198.18.0.72,Device-072
IN-1546a39500dd1ff4a812ecc4a7,SESS-d87247436c61b69ad1827d267d,0.175266667,0.473,6.0,time+size,True,198.18.0.26,Device-026
IN-038553017c50750182ebf3cb90,SESS-06c4ae981ed8a652e49d3d408e,0.178216162,2.163,5.0,time+size,True,198.18.0.24,Device-024
IN-9d79ce2ce1aff1900e0d4a6586,SESS-9a895381a7a4a601b4cd606440,0.178383838,3.7,4.0,time+size,True,198.18.0.23,Device-023
IN-394e69af2b3abbca8e203d1593,SESS-0b1da151cc33c81a5ea3e335cf,0.179692929,3.772,4.0,time+size,True,198.18.0.44,Device-044
IN-77f3e43e1a4967ab7273da2bbb,SESS-8dbc7ad89222ce506ac3f23733,0.180430303,0.757,6.0,time+size,True,198.18.0.69,Device-069
IN-7808ab4d6cba1e60c712db441a,SESS-66043aea0e27ff944b6f587cff,0.184507071,2.509,5.0,time+size,True,198.18.0.15,Device-015
IN-a8aed5d0e9178cfc8eb32f4b7f,SESS-be7dedc6d6dc397584c119d140,0.185379798,2.557,5.0,time+size,True,198.18.0.21,Device-021
IN-00c2ab55365989041853cbe239,SESS-f3674797f1786e6e90abddb10d,0.196565657,4.7,4.0,time+size,True,198.18.0.16,Device-016
