observed_source_ip,session_count,device_count,largest_device_share,exact_device_cluster
198.18.0.1,4,1,1.0,True
198.18.0.10,4,1,1.0,True
198.18.0.100,4,1,1.0,True
198.18.0.11,4,1,1.0,True
198.18.0.12,4,1,1.0,True
198.18.0.13,4,1,1.0,True
198.18.0.14,4,1,1.0,True
198.18.0.15,4,1,1.0,True
198.18.0.16,4,1,1.0,True
198.18.0.17,4,1,1.0,True
198.18.0.18,4,1,1.0,True
198.18.0.19,4,1,1.0,True
198.18.0.2,4,1,1.0,True
198.18.0.20,4,1,1.0,True
198.18.0.21,4,1,1.0,True
198.18.0.22,4,1,1.0,True
198.18.0.23,4,1,1.0,True
198.18.0.24,4,1,1.0,True
198.18.0.25,4,1,1.0,True
198.18.0.26,4,1,1.0,True
198.18.0.27,4,1,1.0,True
198.18.0.28,4,1,1.0,True
198.18.0.29,4,1,1.0,True
198.18.0.3,4,1,1.0,True
198.18.0.30,4,1,1.0,True
198.18.0.31,4,1,1.0,True
198.18.0.32,4,1,1.0,True
198.18.0.33,4,1,1.0,True
198.18.0.34,4,1,1.0,True
198.18.0.35,4,1,1.0,True
198.18.0.36,4,1,1.0,True
198.18.0.37,4,1,1.0,True
198.18.0.38,4,1,1.0,True
198.18.0.39,4,1,1.0,True
198.18.0.4,4,1,1.0,True
198.18.0.40,4,1,1.0,True
198.18.0.41,4,1,1.0,True
198.18.0.42,4,1,1.0,True
198.18.0.43,4,1,1.0,True
198.18.0.44,4,1,1.0,True
198.18.0.45,4,1,1.0,True
198.18.0.46,4,1,1.0,True
198.18.0.47,4,1,1.0,True
198.18.0.48,4,1,1.0,True
198.18.0.49,4,1,1.0,True
198.18.0.5,4,1,1.0,True
198.18.0.50,4,1,1.0,True
198.18.0.51,4,1,1.0,True
198.18.0.52,4,1,1.0,True
198.18.0.53,4,1,1.0,True
198.18.0.54,4,1,1.0,True
198.18.0.55,4,1,1.0,True
198.18.0.56,4,1,1.0,True
198.18.0.57,4,1,1.0,True
198.18.0.58,4,1,1.0,True
198.18.0.59,4,1,1.0,True
198.18.0.6,4,1,1.0,True
198.18.0.60,4,1,1.0,True
198.18.0.61,4,1,1.0,True
198.18.0.62,4,1,1.0,True
198.18.0.63,4,1,1.0,True
198.18.0.64,4,1,1.0,True
198.18.0.65,4,1,1.0,True
198.18.0.66,4,1,1.0,True
198.18.0.67,4,1,1.0,True
198.18.0.68,4,1,1.0,True
198.18.0.69,4,1,1.0,True
198.18.0.7,4,1,1.0,True
198.18.0.70,4,1,1.0,True
198.18.0.71,4,1,1.0,True
198.18.0.72,4,1,1.0,True
198.18.0.73,4,1,1.0,True
198.18.0.74,4,1,1.0,True
198.18.0.75,4,1,1.0,True
198.18.0.76,4,1,1.0,True
198.18.0.77,4,1,1.0,True
198.18.0.78,4,1,1.0,True
198.18.0.79,4,1,1.0,True
198.18.0.8,4,1,1.0,True
198.18.0.80,4,1,1.0,True
198.18.0.81,4,1,1.0,True
198.18.0.82,4,1,1.0,True
198.18.0.83,4,1,1.0,True
198.18.0.84,4,1,1.0,True
198.18.0.85,4,1,1.0,True
198.18.0.86,4,1,1.0,True
198.18.0.87,4,1,1.0,True
198.18.0.88,4,1,1.0,True
198.18.0.89,4,1,1.0,True
198.18.0.9,4,1,1.0,True
198.18.0.90,4,1,1.0,True
198.18.0.91,4,1,1.0,True
198.18.0.92,4,1,1.0,True
198.18.0.93,4,1,1.0,True
198.18.0.94,4,1,1.0,True
198.18.0.95,4,1,1.0,True
198.18.0.96,4,1,1.0,True
198.18.0.97,4,1,1.0,True
198.18.0.98,4,1,1.0,True
198.18.0.99,4,1,1.0,True
