assertion,class,expected,observed,passed
direct_ip_auc_near_one,12A,>=0.99,1.0,True
direct_exact_history_recovered,12A,1.0,1.0,True
direct_anonymity_set_is_one,12A,1.0,1.0,True
shared_pr_single_visible_source,12B,1,1,True
shared_pr_ip_auc_is_random,12B,0.5,0.5,True
shared_pr_anonymity_set_contains_all_devices,12B,100,100.0,True
shared_pr_no_exact_device_history,12B,<=0.0,0.0,True
shared_pr_ip_identification_rate_is_uniform_guess,12B,0.01,0.01,True
collusion_time_size_recovers_connections,12C,>=0.65,0.995,True
collusion_beats_ip_only_guessing,12C,>0.01,0.995,True
time_and_size_not_worse_than_time_only,12C,>=0.815,0.995,True
all_records_matched_once,12C,400,400,True
attacker_logs_do_not_share_transaction_identifier,hygiene,True,True,True
production_relay_source_checkpoints_present,source_audit,True,True,True
collusion_is_expected_boundary_failure,scope,EXPECTED_BOUNDARY_FAILURE,EXPECTED_BOUNDARY_FAILURE,True
