assertion,expected,observed,passed
wrong_x_control_rejected,False,False,True
x_alone_not_reported_as_signing_key,False,False,True
full_endpoint_holder_clone_accepted,True,True,True
eta_d_without_matching_x_k_rejected,False,False,True
eta_d_with_complete_state_accepted,True,True,True
unrelated_eum_key_control_rejected,False,False,True
leaked_eum_key_forges_credential,True,True,True
unrelated_mno_key_control_rejected,False,False,True
leaked_mno_key_forges_ticket,True,True,True
unrelated_server_auth_key_rejected,False,False,True
leaked_server_auth_key_impersonates,True,True,True
unrelated_binding_key_rejected,False,False,True
leaked_binding_key_forges_bind_t,True,True,True
trace_db_resolves_correct_eid,True,True,True
trace_db_discloses_all_test_records,True,True,True
trace_db_does_not_grant_signing,False,False,True
all_six_classified_out_of_scope,6,6,True
all_targeted_compromise_effects_observed,6,6,True
all_controls_match_expected,True,True,True
source_audit_complete,True,True,True
